epoch,step,train_loss1,train_loss2,val_acc1,val_acc2,train_acc2,train_acc1,test_acc
17,5549,0.005806435830891132,0.0059314691461622715,,,,,
17,5599,0.006450932007282972,0.005924853030592203,,,,,
17,5615,,,0.6280999779701233,0.640500009059906,,,
17,5615,,,,,0.6485627293586731,0.6497645974159241,0.7000593543052673
18,5649,0.006092475727200508,0.007141660898923874,,,,,
18,5699,0.006684413179755211,0.006333774887025356,,,,,
18,5749,0.007233405485749245,0.0068883285857737064,,,,,
18,5799,0.007879561744630337,0.007961704395711422,,,,,
18,5849,0.006436633411794901,0.006806918419897556,,,,,
18,5899,0.006298101041465998,0.00614901352673769,,,,,
18,5927,,,0.6347000002861023,0.6607999801635742,,,
18,5927,,,,,0.6568509340286255,0.6569511294364929,0.6918512582778931
19,5949,0.005618144758045673,0.005147499497979879,,,,,
19,5999,0.004562707617878914,0.0042862179689109325,,,,,
19,6049,0.007467206567525864,0.007350328844040632,,,,,
19,6099,0.006041317246854305,0.006334104109555483,,,,,
19,6149,0.005487516522407532,0.005690550897270441,,,,,
19,6199,0.005515837576240301,0.005654182285070419,,,,,
19,6239,,,0.6389999985694885,0.6610999703407288,,,
19,6239,,,,,0.6625601053237915,0.6619340777397156,0.679094135761261
20,6249,0.05857562646269798,0.05772121623158455,,,,,
20,6299,0.04955660551786423,0.04924970492720604,,,,,
20,6349,0.054668497294187546,0.05303054675459862,,,,,
20,6399,0.05561114102602005,0.056416887789964676,,,,,
20,6449,0.05194514989852905,0.055007725954055786,,,,,
20,6499,0.05543366074562073,0.05261708050966263,,,,,
20,6549,0.078499935567379,0.07679034769535065,,,,,
20,6551,,,0.5494999885559082,0.5604000091552734,,,
20,6551,,,,,0.5500801205635071,0.5481520295143127,0.6257911324501038
21,6599,0.05328362062573433,0.05326474830508232,,,,,
21,6649,0.048931997269392014,0.04877340421080589,,,,,
21,6699,0.06382281333208084,0.06353671103715897,,,,,
21,6749,0.05304378271102905,0.054921090602874756,,,,,
21,6799,0.048141784965991974,0.05060100182890892,,,,,
21,6849,0.05002981796860695,0.052628811448812485,,,,,
21,6863,,,0.5839999914169312,0.49000000953674316,,,
21,6863,,,,,0.5666065812110901,0.5711638331413269,0.589695394039154
22,6899,0.049654848873615265,0.049261584877967834,,,,,
22,6949,0.046661440283060074,0.046562984585762024,,,,,
22,6999,0.0460624136030674,0.044988855719566345,,,,,
22,7049,0.06721387058496475,0.06983041763305664,,,,,
22,7099,0.06174725294113159,0.061333201825618744,,,,,
22,7149,0.07585050165653229,0.0756089985370636,,,,,
22,7175,,,0.5771999955177307,0.5594000220298767,,,
22,7175,,,,,0.5774739384651184,0.5723156929016113,0.5898932218551636
23,7199,0.05874938517808914,0.0610152892768383,,,,,
23,7249,0.06307659298181534,0.06448549032211304,,,,,
23,7299,0.048627037554979324,0.04978780448436737,,,,,
23,7349,0.048489540815353394,0.04588929936289787,,,,,
23,7399,0.07716435194015503,0.07615639269351959,,,,,
23,7449,0.07118160277605057,0.0740446150302887,,,,,
23,7487,,,0.5436000227928162,0.6047000288963318,,,
23,7487,,,,,0.5777744650840759,0.5774489045143127,0.6121439933776855
24,7499,0.057850755751132965,0.056166280061006546,,,,,
24,7549,0.04837088659405708,0.048338159918785095,,,,,
24,7599,0.05949029698967934,0.056534986943006516,,,,,
24,7649,0.0768921747803688,0.07652156054973602,,,,,
24,7699,0.07091115415096283,0.07321704179048538,,,,,
24,7749,0.06253499537706375,0.06309868395328522,,,,,
24,7799,0.057177215814590454,0.05825378745794296,,,,,
24,7799,,,0.531499981880188,0.5494999885559082,,,
24,7799,,,,,0.5833082795143127,0.5868639945983887,0.6048259735107422
25,7849,0.05574000999331474,0.05591551214456558,,,,,
25,7899,0.07516106218099594,0.07511500269174576,,,,,
25,7949,0.07132942974567413,0.07668757438659668,,,,,
25,7999,0.08022573590278625,0.08266200870275497,,,,,
25,8049,0.07671448588371277,0.0753416195511818,,,,,
25,8099,0.059408824890851974,0.058154139667749405,,,,,
25,8111,,,0.5877000093460083,0.5579000115394592,,,
25,8111,,,,,0.5869390964508057,0.5871394276618958,0.6185719966888428
26,8149,0.07481496036052704,0.07263610512018204,,,,,
26,8199,0.0660242959856987,0.06668723374605179,,,,,
26,8249,0.06047223135828972,0.05837627872824669,,,,,
26,8299,0.06023695319890976,0.061779506504535675,,,,,
26,8349,0.05509556829929352,0.054303452372550964,,,,,
26,8399,0.07118291407823563,0.07379569858312607,,,,,
26,8423,,,0.5644999742507935,0.5424000024795532,,,
26,8423,,,,,0.5885166525840759,0.5888171195983887,0.6297468543052673
27,8449,0.07395678758621216,0.07419214397668839,,,,,
27,8499,0.058146316558122635,0.05906619504094124,,,,,
27,8549,0.07122769206762314,0.07072839140892029,,,,,
27,8599,0.05804393067955971,0.05912327766418457,,,,,
27,8649,0.06098449230194092,0.06115623936057091,,,,,
27,8699,0.06928493827581406,0.06743466854095459,,,,,
27,8735,,,0.5404000282287598,0.5353999733924866,,,
27,8735,,,,,0.5897185206413269,0.5885416865348816,0.6242088675498962
28,8749,0.06667917221784592,0.06524550914764404,,,,,
28,8799,0.07504390925168991,0.0745375007390976,,,,,
28,8849,0.05822077393531799,0.05556749925017357,,,,,
28,8899,0.06672056764364243,0.06532605737447739,,,,,
28,8949,0.07581771910190582,0.07676389813423157,,,,,
28,8999,0.06649062782526016,0.06588681042194366,,,,,
28,9047,,,0.6093999743461609,0.5853000283241272,,,
28,9047,,,,,0.591871976852417,0.5918469429016113,0.6414161324501038
29,9049,0.0935438945889473,0.08893214166164398,,,,,
29,9099,0.05243226885795593,0.053874433040618896,,,,,
29,9149,0.08251916617155075,0.08566193282604218,,,,,
29,9199,0.06366242468357086,0.06394204497337341,,,,,
29,9249,0.06478119641542435,0.06767724454402924,,,,,
29,9299,0.06113177910447121,0.061990752816200256,,,,,
29,9349,0.06481275707483292,0.062128905206918716,,,,,
29,9359,,,0.5741000175476074,0.5615000128746033,,,
29,9359,,,,,0.5960536599159241,0.5964793562889099,0.621835470199585
30,9399,0.07639876753091812,0.07918836176395416,,,,,
30,9449,0.07009700685739517,0.06740670651197433,,,,,
30,9499,0.08222199976444244,0.08224907517433167,,,,,
30,9549,0.08600831031799316,0.08517437428236008,,,,,
30,9599,0.06264202296733856,0.06235884130001068,,,,,
30,9649,0.04905587062239647,0.04958576336503029,,,,,
30,9671,,,0.5335000157356262,0.6075999736785889,,,
30,9671,,,,,0.5949018597602844,0.5945762991905212,0.6276701092720032
31,9699,0.08339928090572357,0.08307240158319473,,,,,
31,9749,0.06787488609552383,0.06504809856414795,,,,,
31,9799,0.095332570374012,0.09179426729679108,,,,,
31,9849,0.06310218572616577,0.060202501714229584,,,,,
31,9899,0.06474095582962036,0.06594869494438171,,,,,
31,9949,0.06337916105985641,0.06544828414916992,,,,,
31,9983,,,0.5404000282287598,0.5613999962806702,,,
31,9983,,,,,0.5947515964508057,0.5951522588729858,0.5637856125831604
32,9999,0.07505602389574051,0.07288239151239395,,,,,
32,10049,0.06911156326532364,0.07104557752609253,,,,,
32,10099,0.06563001871109009,0.06737173348665237,,,,,
32,10149,0.06258725374937057,0.0641501396894455,,,,,
32,10199,0.07529425621032715,0.07048249989748001,,,,,
32,10249,0.05933554470539093,0.06117977946996689,,,,,
32,10295,,,0.586899995803833,0.598800003528595,,,
32,10295,,,,,0.5962790250778198,0.5938752293586731,0.6470530033111572
33,10299,0.06204020977020264,0.06241769716143608,,,,,
33,10349,0.05615563690662384,0.05520055070519447,,,,,
33,10399,0.06608670949935913,0.06465540826320648,,,,,
33,10449,0.05520889163017273,0.0554121658205986,,,,,
33,10499,0.08199872821569443,0.08193633705377579,,,,,
33,10549,0.06123511493206024,0.060629088431596756,,,,,
33,10599,0.06579922884702682,0.06470728665590286,,,,,
33,10607,,,0.5809999704360962,0.5819000005722046,,,
33,10607,,,,,0.5966796875,0.5959034562110901,0.6377571225166321
34,10649,0.06218767166137695,0.06400206685066223,,,,,
34,10699,0.06283078342676163,0.0626104548573494,,,,,
34,10749,0.06870774924755096,0.06788665056228638,,,,,
34,10799,0.06238660588860512,0.059183619916439056,,,,,
34,10849,0.06327290832996368,0.061069078743457794,,,,,
34,10899,0.07651684433221817,0.0739215835928917,,,,,
34,10919,,,0.5860999822616577,0.5800999999046326,,,
34,10919,,,,,0.6008363366127014,0.6005859375,0.6186708807945251
35,10949,0.06650164723396301,0.06530091166496277,,,,,
35,10999,0.05426585301756859,0.0550609789788723,,,,,
35,11049,0.07482607662677765,0.07157985866069794,,,,,
35,11099,0.07401686906814575,0.07394462823867798,,,,,
35,11149,0.06951634585857391,0.06936844438314438,,,,,
35,11199,0.06893738359212875,0.06963871419429779,,,,,
35,11231,,,0.5914000272750854,0.5605000257492065,,,
35,11231,,,,,0.5994340777397156,0.6032902598381042,0.6300435066223145
36,11249,0.06450427323579788,0.06341294944286346,,,,,
36,11299,0.07057715952396393,0.07083496451377869,,,,,
36,11349,0.07538286596536636,0.07439088076353073,,,,,
36,11399,0.07461807876825333,0.07365880161523819,,,,,
36,11449,0.06773083657026291,0.06938538700342178,,,,,
36,11499,0.07534618675708771,0.07628035545349121,,,,,
36,11543,,,0.5898000001907349,0.6067000031471252,,,
36,11543,,,,,0.5969050526618958,0.6009615659713745,0.6596123576164246
37,11549,0.07478738576173782,0.07664474844932556,,,,,
37,11599,0.08324053883552551,0.080535389482975,,,,,
37,11649,0.06996683031320572,0.06729371845722198,,,,,
37,11699,0.08927001804113388,0.08738826960325241,,,,,
37,11749,0.06568348407745361,0.06252247840166092,,,,,
37,11799,0.08509364724159241,0.08681181073188782,,,,,
37,11849,0.06260646879673004,0.06574519723653793,,,,,
37,11855,,,0.5547999739646912,0.5674999952316284,,,
37,11855,,,,,0.6017628312110901,0.6015625,0.6161985993385315
38,11899,0.05105806142091751,0.050024084746837616,,,,,
38,11949,0.06586205214262009,0.06695225089788437,,,,,
38,11999,0.058444779366254807,0.059464190155267715,,,,,
38,12049,0.05276912450790405,0.052571844309568405,,,,,
38,12099,0.061071354895830154,0.06268293410539627,,,,,
38,12149,0.06955530494451523,0.06673280894756317,,,,,
38,12167,,,0.5044999718666077,0.5455999970436096,,,
38,12167,,,,,0.6002604365348816,0.5941756963729858,0.5962222814559937
39,12199,0.07325951755046844,0.07316949963569641,,,,,
39,12249,0.06213311478495598,0.06183868274092674,,,,,
39,12299,0.057628799229860306,0.05442878603935242,,,,,
39,12349,0.07508483529090881,0.07343503832817078,,,,,
39,12399,0.05378042533993721,0.05524187907576561,,,,,
39,12449,0.06569968163967133,0.06736309826374054,,,,,
39,12479,,,0.5590999722480774,0.551800012588501,,,
39,12479,,,,,0.5954276919364929,0.5941005349159241,0.6262856125831604
40,12499,0.05392984673380852,0.05008202791213989,,,,,
40,12549,0.06471112370491028,0.06661492586135864,,,,,
40,12599,0.06648655980825424,0.06717138737440109,,,,,
40,12649,0.07434136420488358,0.07388712465763092,,,,,
40,12699,0.06688310205936432,0.07065420597791672,,,,,
40,12749,0.07413957267999649,0.07576372474431992,,,,,
40,12791,,,0.5778999924659729,0.5591999888420105,,,
40,12791,,,,,0.5987329483032227,0.6011368036270142,0.6251977682113647
41,12799,0.057932402938604355,0.058754127472639084,,,,,
41,12849,0.07061246782541275,0.07442742586135864,,,,,
41,12899,0.07620492577552795,0.07601427286863327,,,,,
41,12949,0.05502551794052124,0.052461910992860794,,,,,
41,12999,0.05825785920023918,0.060430996119976044,,,,,
41,13049,0.05876155570149422,0.05981171131134033,,,,,
41,13099,0.0791347399353981,0.0804021880030632,,,,,
41,13103,,,0.6144000291824341,0.5906999707221985,,,
41,13103,,,,,0.6044671535491943,0.6000350713729858,0.6515031456947327
42,13149,0.04997732862830162,0.04872085154056549,,,,,
42,13199,0.0578991174697876,0.05567160248756409,,,,,
42,13249,0.05789188668131828,0.06280114501714706,,,,,
42,13299,0.06826619058847427,0.06791029125452042,,,,,
42,13349,0.04887636750936508,0.04888597130775452,,,,,
42,13399,0.08245599269866943,0.07863477617502213,,,,,
42,13415,,,0.5734999775886536,0.6198999881744385,,,
42,13415,,,,,0.6000100374221802,0.6022385954856873,0.631625771522522
43,13449,0.07166112214326859,0.06971991062164307,,,,,
43,13499,0.07034759223461151,0.0707145407795906,,,,,
43,13549,0.07150878012180328,0.07290629297494888,,,,,
43,13599,0.05665281042456627,0.05601589381694794,,,,,
43,13649,0.07266344875097275,0.06843175739049911,,,,,
43,13699,0.06255052983760834,0.06356938183307648,,,,,
43,13727,,,0.5728999972343445,0.5968000292778015,,,
43,13727,,,,,0.6012119650840759,0.599684476852417,0.6272745132446289
44,13749,0.07519951462745667,0.06987638771533966,,,,,
44,13799,0.07438395917415619,0.07609780132770538,,,,,
44,13849,0.05765046924352646,0.062153659760951996,,,,,
44,13899,0.06299559772014618,0.06110493466258049,,,,,
44,13949,0.09075678884983063,0.09215200692415237,,,,,
44,13999,0.05096149072051048,0.05195600166916847,,,,,
44,14039,,,0.5626000165939331,0.5922999978065491,,,
44,14039,,,,,0.6044921875,0.6028395295143127,0.6139240264892578
45,14049,0.0646257996559143,0.06259693950414658,,,,,
45,14099,0.0648462176322937,0.064249187707901,,,,,
45,14149,0.0632038414478302,0.06520458310842514,,,,,
45,14199,0.05889443680644035,0.06277486681938171,,,,,
45,14249,0.06904452294111252,0.06940039992332458,,,,,
45,14299,0.06815687566995621,0.06888005137443542,,,,,
45,14349,0.06487634778022766,0.06609626859426498,,,,,
45,14351,,,0.5397999882698059,0.5710999965667725,,,
45,14351,,,,,0.5992588400840759,0.6002854704856873,0.6103639006614685
46,14399,0.058468569070100784,0.057499468326568604,,,,,
46,14449,0.07180101424455643,0.07099629938602448,,,,,
46,14499,0.07317099720239639,0.074900783598423,,,,,
46,14549,0.06316099315881729,0.06587289273738861,,,,,
46,14599,0.06295010447502136,0.06128336489200592,,,,,
46,14649,0.06988301873207092,0.06854943931102753,,,,,
46,14663,,,0.5983999967575073,0.5891000032424927,,,
46,14663,,,,,0.6022385954856873,0.5993840098381042,0.6509097814559937
47,14699,0.052281200885772705,0.051603663712739944,,,,,
47,14749,0.07078944146633148,0.07120931148529053,,,,,
47,14799,0.08034884184598923,0.07801976054906845,,,,,
47,14849,0.06347662210464478,0.06419544667005539,,,,,
47,14899,0.06929440051317215,0.07006992399692535,,,,,
47,14949,0.06600946933031082,0.06232427433133125,,,,,
47,14975,,,0.588100016117096,0.6137999892234802,,,
47,14975,,,,,0.6008864045143127,0.6012620329856873,0.6370648741722107
48,14999,0.06614576280117035,0.06433641165494919,,,,,
48,15049,0.06796741485595703,0.06853174418210983,,,,,
48,15099,0.0586559921503067,0.059959299862384796,,,,,
48,15149,0.05219310522079468,0.05147382244467735,,,,,
48,15199,0.06394970417022705,0.05951792374253273,,,,,
48,15249,0.07528068870306015,0.07702622562646866,,,,,
48,15287,,,0.560699999332428,0.5037999749183655,,,
48,15287,,,,,0.6039913892745972,0.6044421195983887,0.612539529800415
49,15299,0.07041096687316895,0.0709795355796814,,,,,
49,15349,0.06262339651584625,0.060162026435136795,,,,,
49,15399,0.06618298590183258,0.06480606645345688,,,,,
49,15449,0.08199280500411987,0.08124858886003494,,,,,
49,15499,0.06382370740175247,0.06493193656206131,,,,,
49,15549,0.07350914925336838,0.07171935588121414,,,,,
49,15599,0.0735946074128151,0.07524009793996811,,,,,
49,15599,,,0.5888000130653381,0.5764999985694885,,,
49,15599,,,,,0.6030899286270142,0.6002103090286255,0.6360759735107422
50,15649,0.09047368168830872,0.08480037748813629,,,,,
50,15699,0.096499502658844,0.0963018536567688,,,,,
50,15749,0.07756640017032623,0.07722911983728409,,,,,
50,15799,0.06763652712106705,0.06716812402009964,,,,,
50,15849,0.07672890275716782,0.07753854244947433,,,,,
50,15899,0.0663924589753151,0.06543063372373581,,,,,
50,15911,,,0.5551999807357788,0.5289999842643738,,,
50,15911,,,,,0.6050680875778198,0.6069711446762085,0.6152096390724182
51,15949,0.07526042312383652,0.07342800498008728,,,,,
51,15999,0.06108688563108444,0.05953182652592659,,,,,
51,16049,0.058519456535577774,0.05860743299126625,,,,,
51,16099,0.06737547367811203,0.07027381658554077,,,,,
51,16149,0.05969873070716858,0.06101352721452713,,,,,
51,16199,0.0709000676870346,0.07253294438123703,,,,,
51,16223,,,0.5735999941825867,0.5730000138282776,,,
51,16223,,,,,0.6040164232254028,0.6040664911270142,0.6241099834442139
52,16249,0.07398150116205215,0.07250620424747467,,,,,
52,16299,0.07593144476413727,0.0763169676065445,,,,,
52,16349,0.08140550553798676,0.0809403583407402,,,,,
52,16399,0.0605342723429203,0.0648791566491127,,,,,
52,16449,0.06428826600313187,0.05906840041279793,,,,,
52,16499,0.06754154711961746,0.06697652488946915,,,,,
52,16535,,,0.5827000141143799,0.6129000186920166,,,
52,16535,,,,,0.5994591116905212,0.5984324812889099,0.6273733973503113
53,16549,0.07841749489307404,0.07722324132919312,,,,,
53,16599,0.05821211636066437,0.05877958983182907,,,,,
53,16649,0.10761640965938568,0.11617543548345566,,,,,
53,16699,0.06106603890657425,0.061952024698257446,,,,,
53,16749,0.05928952991962433,0.05836222693324089,,,,,
53,16799,0.06848560273647308,0.06602396070957184,,,,,
53,16847,,,0.6031000018119812,0.5611000061035156,,,
53,16847,,,,,0.600510835647583,0.6004607081413269,0.6405261158943176
54,16849,0.08479569107294083,0.0866764485836029,,,,,
54,16899,0.08164159953594208,0.08304612338542938,,,,,
54,16949,0.07839558273553848,0.07514563947916031,,,,,
54,16999,0.06216874346137047,0.06714615970849991,,,,,
54,17049,0.06014007329940796,0.0583631657063961,,,,,
54,17099,0.0565679632127285,0.05561278387904167,,,,,
54,17149,0.0673457607626915,0.06687784940004349,,,,,
54,17159,,,0.5774000287055969,0.5968000292778015,,,
54,17159,,,,,0.6043669581413269,0.6006360054016113,0.6273733973503113
55,17199,0.0665249153971672,0.06581474095582962,,,,,
55,17249,0.09338317066431046,0.09533872455358505,,,,,
55,17299,0.06703074276447296,0.0644858330488205,,,,,
55,17349,0.0712432935833931,0.0727740079164505,,,,,
55,17399,0.0628022626042366,0.0628475770354271,,,,,
55,17449,0.06795331835746765,0.06983599066734314,,,,,
55,17471,,,0.5446000099182129,0.5734000205993652,,,
55,17471,,,,,0.6051432490348816,0.6049929857254028,0.6328125
56,17499,0.07600455731153488,0.07321207970380783,,,,,
56,17549,0.06982258707284927,0.06838136911392212,,,,,
56,17599,0.08232934772968292,0.08343864232301712,,,,,
56,17649,0.08392933011054993,0.08344926685094833,,,,,
56,17699,0.07592122256755829,0.07602319121360779,,,,,
56,17749,0.07057216763496399,0.07100196927785873,,,,,
56,17783,,,0.5547999739646912,0.5446000099182129,,,
56,17783,,,,,0.5997846722602844,0.6029647588729858,0.6208465099334717
57,17799,0.06520731747150421,0.06566930562257767,,,,,
57,17849,0.0632646456360817,0.06166193261742592,,,,,
57,17899,0.06333336979150772,0.06443233042955399,,,,,
57,17949,0.06599222868680954,0.06674042344093323,,,,,
57,17999,0.05951608717441559,0.058094337582588196,,,,,
57,18049,0.07348421216011047,0.07604273408651352,,,,,
57,18095,,,0.5195000171661377,0.6123999953269958,,,
