step,epoch,train_loss,val_acc,val_loss,test_acc,train_acc
12799,41,0.892310619354248,,,,
12849,41,0.6675741672515869,,,,
12899,41,0.8223305940628052,,,,
12949,41,0.7933534383773804,,,,
12999,41,0.680727481842041,,,,
13049,41,0.8120604753494263,,,,
13099,41,0.7903351783752441,,,,
13103,41,,0.6047000288963318,1.8786284923553467,,
13103,41,,,,0.6788963675498962,0.6683694124221802
13149,42,0.8980752825737,,,,
13199,42,1.0564074516296387,,,,
13249,42,0.6825945973396301,,,,
13299,42,0.8133331537246704,,,,
13349,42,0.8228313326835632,,,,
13399,42,0.8032026290893555,,,,
13415,42,,0.6797000169754028,1.495815396308899,,
13415,42,,,,0.6925435066223145,0.6657902598381042
13449,43,0.7508780360221863,,,,
13499,43,0.7405928373336792,,,,
13549,43,0.880494236946106,,,,
13599,43,0.7747061252593994,,,,
13649,43,0.7058854103088379,,,,
13699,43,0.8623908758163452,,,,
13727,43,,0.6470000147819519,1.6018381118774414,,
13727,43,,,,0.6979826092720032,0.6645632982254028
13749,44,0.7802724838256836,,,,
13799,44,0.8550397157669067,,,,
13849,44,0.5331840515136719,,,,
13899,44,0.8279362916946411,,,,
13949,44,0.8996796607971191,,,,
13999,44,0.7718508243560791,,,,
14039,44,,0.6499999761581421,1.622070550918579,,
14039,44,,,,0.6932357549667358,0.6705479025840759
14049,45,0.7502920031547546,,,,
14099,45,0.907508134841919,,,,
14149,45,0.8107955455780029,,,,
14199,45,0.9190669059753418,,,,
14249,45,0.7828080654144287,,,,
14299,45,0.721476137638092,,,,
14349,45,0.9126926064491272,,,,
14351,45,,0.6466000080108643,1.618144154548645,,
14351,45,,,,0.6839398741722107,0.6627854704856873
14399,46,0.8232443928718567,,,,
14449,46,0.9936244487762451,,,,
14499,46,0.8010851144790649,,,,
14549,46,0.7956486940383911,,,,
14599,46,0.8479572534561157,,,,
14649,46,0.7584140300750732,,,,
14663,46,,0.6600000262260437,1.5647315979003906,,
14663,46,,,,0.6888844966888428,0.6670422554016113
14699,47,0.889183759689331,,,,
14749,47,0.7737845778465271,,,,
14799,47,0.7902089357376099,,,,
14849,47,0.7977042198181152,,,,
14899,47,0.7719960808753967,,,,
14949,47,0.9195594787597656,,,,
14975,47,,0.6552000045776367,1.6128910779953003,,
14975,47,,,,0.6919501423835754,0.6654146909713745
14999,48,0.8913843631744385,,,,
15049,48,0.7585773468017578,,,,
15099,48,0.934609591960907,,,,
15149,48,0.7758890986442566,,,,
15199,48,0.5943372845649719,,,,
15249,48,0.8524701595306396,,,,
15287,48,,0.6553999781608582,1.5972338914871216,,
15287,48,,,,0.6901701092720032,0.6648887991905212
15299,49,0.7414398193359375,,,,
15349,49,0.8732307553291321,,,,
15399,49,0.8410552740097046,,,,
15449,49,0.7115879058837891,,,,
15499,49,0.8151280879974365,,,,
15549,49,0.8019434213638306,,,,
15599,49,0.7250982522964478,,,,
15599,49,,0.6406999826431274,1.7237765789031982,,
15599,49,,,,0.6829509735107422,0.6678184866905212
15649,50,0.7822281718254089,,,,
15699,50,0.7019983530044556,,,,
15749,50,0.6538935899734497,,,,
15799,50,0.6889980435371399,,,,
15849,50,0.7002218961715698,,,,
15899,50,0.7784774303436279,,,,
15911,50,,0.6561999917030334,1.6109850406646729,,
15911,50,,,,0.6831487417221069,0.6658903956413269
15949,51,0.9162490367889404,,,,
15999,51,0.8095020055770874,,,,
16049,51,0.7498301863670349,,,,
16099,51,0.768884003162384,,,,
16149,51,0.9300063848495483,,,,
16199,51,0.6446239948272705,,,,
16223,51,,0.6341000199317932,1.8440226316452026,,
16223,51,,,,0.6835442781448364,0.6639122366905212
16249,52,0.6901120543479919,,,,
16299,52,0.867280125617981,,,,
16349,52,0.6872491836547852,,,,
16399,52,0.6717652082443237,,,,
16449,52,0.9110713005065918,,,,
16499,52,0.7721232771873474,,,,
16535,52,,0.6360999941825867,1.6519298553466797,,
16535,52,,,,0.6888844966888428,0.6661658883094788
16549,53,0.7261579036712646,,,,
16599,53,0.9395961165428162,,,,
16649,53,0.751598596572876,,,,
16699,53,0.9214032292366028,,,,
16749,53,0.7070587277412415,,,,
16799,53,0.6883429288864136,,,,
16847,53,,0.6442000269889832,1.6273062229156494,,
16847,53,,,,0.675039529800415,0.6640374660491943
16849,54,0.6634533405303955,,,,
16899,54,0.7942931056022644,,,,
16949,54,0.9550900459289551,,,,
16999,54,0.6854965686798096,,,,
17049,54,0.8310968279838562,,,,
17099,54,0.8158560395240784,,,,
17149,54,0.7735151648521423,,,,
17159,54,,0.6389999985694885,1.7053050994873047,,
17159,54,,,,0.6945213675498962,0.6650390625
17199,55,0.8706845045089722,,,,
17249,55,0.7408933639526367,,,,
17299,55,0.7901358604431152,,,,
17349,55,0.8127476572990417,,,,
17399,55,0.8618119955062866,,,,
17449,55,0.7974004745483398,,,,
17471,55,,0.6541000008583069,1.66959547996521,,
17471,55,,,,0.6902689933776855,0.6631109714508057
17499,56,0.736489474773407,,,,
17549,56,0.7095566987991333,,,,
17599,56,0.6752969026565552,,,,
17649,56,0.7808895111083984,,,,
17699,56,0.8879356384277344,,,,
17749,56,0.7571262121200562,,,,
17783,56,,0.6467999815940857,1.674363136291504,,
17783,56,,,,0.6985759735107422,0.6626852750778198
17799,57,0.8171592354774475,,,,
17849,57,0.8220600485801697,,,,
17899,57,0.8507586717605591,,,,
17949,57,0.8635973930358887,,,,
17999,57,0.6968045830726624,,,,
18049,57,0.820952296257019,,,,
18095,57,,0.6359000205993652,1.7954539060592651,,
18095,57,,,,0.6914557218551636,0.6630609035491943
18099,58,0.7618460655212402,,,,
18149,58,0.8331214189529419,,,,
18199,58,0.8732061386108398,,,,
18249,58,0.6742658615112305,,,,
18299,58,0.8163821697235107,,,,
18349,58,0.8404909372329712,,,,
18399,58,0.7392672896385193,,,,
18407,58,,0.6599000096321106,1.72810697555542,,
18407,58,,,,0.6932357549667358,0.6643629670143127
18449,59,0.8424400687217712,,,,
18499,59,0.9167585372924805,,,,
18549,59,0.8805910348892212,,,,
18599,59,0.7157013416290283,,,,
18649,59,0.9078482389450073,,,,
18699,59,0.837624192237854,,,,
18719,59,,0.6592000126838684,1.6230103969573975,,
18719,59,,,,0.6829509735107422,0.6611578464508057
18749,60,0.5824074149131775,,,,
18799,60,0.6968439221382141,,,,
18849,60,0.6073917150497437,,,,
18899,60,0.4788307845592499,,,,
18949,60,0.5694237947463989,,,,
18999,60,0.6718438267707825,,,,
19031,60,,0.7231000065803528,1.3926163911819458,,
19031,60,,,,0.7345727682113647,0.7042267918586731
19049,61,0.6464186906814575,,,,
19099,61,0.7362641096115112,,,,
19149,61,0.6782971620559692,,,,
19199,61,0.5498056411743164,,,,
19249,61,0.6838732957839966,,,,
19299,61,0.5642441511154175,,,,
19343,61,,0.728600025177002,1.3958779573440552,,
19343,61,,,,0.7474287748336792,0.7208533883094788
19349,62,0.6648840308189392,,,,
19399,62,0.5635535717010498,,,,
19449,62,0.8214036226272583,,,,
19499,62,0.5947985649108887,,,,
19549,62,0.6319630742073059,,,,
19599,62,0.675530195236206,,,,
19649,62,0.5849303007125854,,,,
19655,62,,0.7339000105857849,1.4165573120117188,,
19655,62,,,,0.7490110993385315,0.7313952445983887
19699,63,0.5866551399230957,,,,
19749,63,0.5341196656227112,,,,
19799,63,0.690902590751648,,,,
19849,63,0.6005725860595703,,,,
19899,63,0.6199477910995483,,,,
19949,63,0.6239349246025085,,,,
19967,63,,0.7373999953269958,1.4040511846542358,,
19967,63,,,,0.7550435066223145,0.7371794581413269
19999,64,0.7207696437835693,,,,
20049,64,0.6406930685043335,,,,
20099,64,0.5394212603569031,,,,
20149,64,0.5208859443664551,,,,
20199,64,0.6802849769592285,,,,
20249,64,0.6450958251953125,,,,
20279,64,,0.7421000003814697,1.3959206342697144,,
20279,64,,,,0.7582080960273743,0.7427133321762085
20299,65,0.6375227570533752,,,,
