epoch,step,test_acc,train_loss
31,12099,,1.9145662784576416
31,12149,,1.8706638813018799
31,12199,,1.8053467273712158
31,12249,,1.783244252204895
31,12299,,1.6340866088867188
31,12349,,1.8623676300048828
31,12399,,1.992107629776001
31,12449,,1.336749792098999
31,12479,0.9074000120162964,
32,12499,,1.5821533203125
32,12549,,1.6965621709823608
32,12599,,1.8088264465332031
32,12649,,1.8743785619735718
32,12699,,1.8490605354309082
32,12749,,1.5964213609695435
32,12799,,1.8581849336624146
32,12849,,1.4920532703399658
32,12869,0.9129999876022339,
33,12899,,1.7305986881256104
33,12949,,1.8829123973846436
33,12999,,1.7938082218170166
33,13049,,1.8463817834854126
33,13099,,1.974069595336914
33,13149,,1.8448326587677002
33,13199,,1.944478988647461
33,13249,,1.9068191051483154
33,13259,0.9078999757766724,
34,13299,,1.4538071155548096
34,13349,,1.80857253074646
34,13399,,1.8723591566085815
34,13449,,1.8531200885772705
34,13499,,1.6566534042358398
34,13549,,2.014406681060791
34,13599,,1.9233884811401367
34,13649,,1.7993786334991455
34,13649,0.9107000231742859,
35,13699,,1.8588547706604004
35,13749,,1.7062486410140991
35,13799,,2.031371593475342
35,13849,,1.60639226436615
35,13899,,1.870038390159607
35,13949,,1.8715167045593262
35,13999,,1.5546643733978271
35,14039,0.9121999740600586,
36,14049,,1.9469971656799316
36,14099,,1.9080123901367188
36,14149,,1.7919838428497314
36,14199,,1.6568716764450073
36,14249,,1.8261868953704834
36,14299,,1.4216877222061157
36,14349,,1.7919518947601318
36,14399,,1.5490837097167969
36,14429,0.9126999974250793,
37,14449,,1.637168526649475
37,14499,,1.8441979885101318
37,14549,,2.011932849884033
37,14599,,1.5875113010406494
37,14649,,1.5331616401672363
37,14699,,1.790665864944458
37,14749,,2.029961585998535
37,14799,,2.016876220703125
37,14819,0.9150999784469604,
38,14849,,1.415895938873291
38,14899,,1.773120403289795
38,14949,,1.7955772876739502
38,14999,,1.949925184249878
38,15049,,1.377781629562378
38,15099,,1.8585691452026367
38,15149,,1.9201468229293823
38,15199,,2.002716541290283
38,15209,0.9164000153541565,
39,15249,,1.962697982788086
39,15299,,1.8735086917877197
39,15349,,1.5856603384017944
39,15399,,1.8303604125976562
39,15449,,1.6149665117263794
39,15499,,1.874468445777893
39,15549,,1.953735113143921
39,15599,,1.6168222427368164
39,15599,0.9168999791145325,
40,15649,,1.7356064319610596
40,15699,,1.4860620498657227
40,15749,,1.7548394203186035
40,15799,,1.729088544845581
40,15849,,1.4565702676773071
40,15899,,1.9309983253479004
40,15949,,1.8165968656539917
40,15989,0.9175000190734863,
41,15999,,1.9190895557403564
41,16049,,1.8300690650939941
41,16099,,1.9322795867919922
41,16149,,1.9291967153549194
41,16199,,1.5080407857894897
41,16249,,1.76885986328125
41,16299,,1.7557010650634766
41,16349,,1.461535096168518
41,16379,0.9204999804496765,
42,16399,,1.8376046419143677
42,16449,,1.8243906497955322
42,16499,,1.9220900535583496
42,16549,,1.6325536966323853
42,16599,,1.815356731414795
42,16649,,1.6285862922668457
42,16699,,1.9373701810836792
42,16749,,1.3906879425048828
42,16769,0.9222000241279602,
43,16799,,1.9475293159484863
43,16849,,1.9114890098571777
43,16899,,1.3676042556762695
43,16949,,1.9195029735565186
43,16999,,2.0482828617095947
43,17049,,1.6837577819824219
43,17099,,1.8659474849700928
43,17149,,2.0088815689086914
43,17159,0.9172000288963318,
44,17199,,1.8923916816711426
44,17249,,1.8523436784744263
44,17299,,1.8030486106872559
44,17349,,1.8213051557540894
44,17399,,1.7596409320831299
44,17449,,1.8995153903961182
44,17499,,1.6316324472427368
44,17549,,1.507706880569458
44,17549,0.9168999791145325,
45,17599,,1.9229896068572998
45,17649,,1.7889926433563232
45,17699,,1.8268884420394897
45,17749,,1.9157512187957764
45,17799,,1.9562064409255981
45,17849,,1.7966872453689575
45,17899,,2.0461931228637695
45,17939,0.9228000044822693,
46,17949,,1.5425875186920166
46,17999,,1.3682692050933838
46,18049,,1.906359076499939
46,18099,,1.7244199514389038
46,18149,,1.7227468490600586
46,18199,,1.956249475479126
46,18249,,1.853471279144287
46,18299,,1.632537841796875
46,18329,0.9168999791145325,
47,18349,,1.8995001316070557
47,18399,,1.8554331064224243
47,18449,,1.840708613395691
47,18499,,1.8377538919448853
47,18549,,1.6346542835235596
47,18599,,1.8631877899169922
47,18649,,1.99238920211792
47,18699,,1.2883756160736084
