epoch,step,train_loss2,train_loss1,train_acc1,test_acc,train_acc2
33,13249,0.17502185702323914,0.17452585697174072,,,
33,13259,,,0.7521234154701233,0.8349000215530396,0.7501803040504456
34,13299,0.21396593749523163,0.18256162106990814,,,
34,13349,0.23159421980381012,0.27036428451538086,,,
34,13399,0.17390011250972748,0.16213588416576385,,,
34,13449,0.2502349615097046,0.24742662906646729,,,
34,13499,0.12136344611644745,0.13807673752307892,,,
34,13549,0.18025818467140198,0.169388085603714,,,
34,13599,0.1674315333366394,0.16217359900474548,,,
34,13649,0.16865645349025726,0.17197754979133606,,,
34,13649,,,0.7552684545516968,0.8413000106811523,0.7538261413574219
35,13699,0.17171654105186462,0.1623810976743698,,,
35,13749,0.17507301270961761,0.1964874118566513,,,
35,13799,0.16505548357963562,0.17157411575317383,,,
35,13849,0.24077919125556946,0.2625710964202881,,,
35,13899,0.24095728993415833,0.24055783450603485,,,
35,13949,0.2263111025094986,0.2438616007566452,,,
35,13999,0.18670746684074402,0.16900068521499634,,,
35,14039,,,0.7558493614196777,0.847100019454956,0.7577524185180664
36,14049,0.1554257571697235,0.1700219213962555,,,
36,14099,0.2845342755317688,0.2588876187801361,,,
36,14149,0.18867051601409912,0.1660202443599701,,,
36,14199,0.16464444994926453,0.1801154911518097,,,
36,14249,0.255696564912796,0.24124309420585632,,,
36,14299,0.39910247921943665,0.3943476974964142,,,
36,14349,0.14980795979499817,0.17782138288021088,,,
36,14399,0.21093273162841797,0.2111472636461258,,,
36,14429,,,0.7586538195610046,0.8539999723434448,0.7573117017745972
37,14449,0.18161456286907196,0.1904439628124237,,,
37,14499,0.2645123302936554,0.2620176076889038,,,
37,14549,0.19746623933315277,0.20187893509864807,,,
37,14599,0.252483993768692,0.23772907257080078,,,
37,14649,0.16495230793952942,0.16349008679389954,,,
37,14699,0.1713467240333557,0.17229130864143372,,,
37,14749,0.17155376076698303,0.16650637984275818,,,
37,14799,0.2638542354106903,0.2553402781486511,,,
37,14819,,,0.7613180875778198,0.836899995803833,0.7611778974533081
38,14849,0.1807316541671753,0.1606476902961731,,,
38,14899,0.17263677716255188,0.16044923663139343,,,
38,14949,0.2678273916244507,0.28426027297973633,,,
38,14999,0.23162467777729034,0.22329047322273254,,,
38,15049,0.2633715867996216,0.254894882440567,,,
38,15099,0.192355215549469,0.20560720562934875,,,
38,15149,0.286579966545105,0.2696073055267334,,,
38,15199,0.12974832952022552,0.12466069310903549,,,
38,15209,,,0.7620993852615356,0.8504999876022339,0.7605568766593933
39,15249,0.14925076067447662,0.17593654990196228,,,
39,15299,0.09613161534070969,0.10095144808292389,,,
39,15349,0.17513424158096313,0.16805562376976013,,,
39,15399,0.23784229159355164,0.2760073244571686,,,
39,15449,0.20503123104572296,0.2325330525636673,,,
39,15499,0.28216472268104553,0.31127822399139404,,,
39,15549,0.204419806599617,0.23502495884895325,,,
39,15599,0.2256278246641159,0.23726435005664825,,,
39,15599,,,0.7543069124221802,0.8615000247955322,0.7666666507720947
40,15649,0.2498409003019333,0.2564503252506256,,,
40,15699,0.19419409334659576,0.19949446618556976,,,
40,15749,0.14574706554412842,0.15027521550655365,,,
40,15799,0.1466873586177826,0.14272308349609375,,,
40,15849,0.2453760802745819,0.252469003200531,,,
40,15899,0.25209927558898926,0.2517992854118347,,,
40,15949,0.23005056381225586,0.2640652060508728,,,
