epoch,train_loss,step,val_loss,val_acc,test_acc,train_acc
63,-0.0236341655254364,19799,,,,
63,-0.0654902458190918,19849,,,,
63,-0.026374220848083496,19899,,,,
63,-0.06927564740180969,19949,,,,
63,0.14868685603141785,19999,,,,
63,,20031,0.46390435099601746,0.8434000015258789,,
63,,20031,,,0.8203125,0.8726999759674072
64,-0.08688819408416748,20049,,,,
64,-0.0676376223564148,20099,,,,
64,-0.016134172677993774,20149,,,,
64,-0.11126118898391724,20199,,,,
64,-0.007666975259780884,20249,,,,
64,-0.023145854473114014,20299,,,,
64,,20344,0.45831507444381714,0.847100019454956,,
64,,20344,,,0.8229826092720032,0.8796250224113464
65,0.026634275913238525,20349,,,,
65,-0.18187245726585388,20399,,,,
65,-0.0012913346290588379,20449,,,,
65,0.016957849264144897,20499,,,,
65,-0.04243716597557068,20549,,,,
65,0.04275029897689819,20599,,,,
65,-0.09011101722717285,20649,,,,
65,,20657,0.4497729539871216,0.8478999733924866,,
65,,20657,,,0.824070394039154,0.8827250003814697
66,-0.10200700163841248,20699,,,,
66,-0.08059626817703247,20749,,,,
66,-0.019277244806289673,20799,,,,
66,0.035263776779174805,20849,,,,
66,-0.03707706928253174,20899,,,,
66,-0.10707107186317444,20949,,,,
66,,20970,0.4484134912490845,0.8507000207901001,,
66,,20970,,,0.8229826092720032,0.8864250183105469
67,-0.19636012613773346,20999,,,,
67,-0.15246307849884033,21049,,,,
67,-0.08662301301956177,21099,,,,
67,0.02051296830177307,21149,,,,
67,0.031128019094467163,21199,,,,
67,-0.02996024489402771,21249,,,,
67,,21283,0.4474470317363739,0.8504999876022339,,
67,,21283,,,0.8225870132446289,0.8880249857902527
68,-0.0989905595779419,21299,,,,
68,-0.15325897932052612,21349,,,,
68,-0.07342955470085144,21399,,,,
68,-0.07335290312767029,21449,,,,
68,-0.10421594977378845,21499,,,,
68,0.055506616830825806,21549,,,,
68,,21596,0.4453607499599457,0.8496000170707703,,
68,,21596,,,0.8223892450332642,0.8932499885559082
69,-0.062116771936416626,21599,,,,
69,-0.09795507788658142,21649,,,,
69,-0.08799642324447632,21699,,,,
69,-0.0586334764957428,21749,,,,
69,-0.17909187078475952,21799,,,,
69,0.0468115508556366,21849,,,,
69,-0.21213597059249878,21899,,,,
69,,21909,0.4453684687614441,0.8526999950408936,,
69,,21909,,,0.8231803774833679,0.8957250118255615
70,-0.09407937526702881,21949,,,,
70,-0.1795118898153305,21999,,,,
70,0.006616085767745972,22049,,,,
70,0.02188977599143982,22099,,,,
70,-0.2169998437166214,22149,,,,
70,-0.17126590013504028,22199,,,,
70,,22222,0.44164329767227173,0.8539999723434448,,
70,,22222,,,0.8274327516555786,0.8974999785423279
71,-0.10824635624885559,22249,,,,
71,-0.23312583565711975,22299,,,,
71,-0.2648530900478363,22349,,,,
71,-0.11199304461479187,22399,,,,
71,-0.11788171529769897,22449,,,,
71,-0.2567881941795349,22499,,,,
71,,22535,0.4427902400493622,0.8519999980926514,,
71,,22535,,,0.8250593543052673,0.9008749723434448
72,-0.02179509401321411,22549,,,,
72,-0.037483543157577515,22599,,,,
72,-0.15221759676933289,22649,,,,
72,-0.15340399742126465,22699,,,,
72,0.011307358741760254,22749,,,,
72,-0.22550126910209656,22799,,,,
72,,22848,0.4502435028553009,0.8528000116348267,,
72,,22848,,,0.8306962251663208,0.9036999940872192
73,-0.24478426575660706,22849,,,,
73,-0.25855553150177,22899,,,,
73,-0.17486190795898438,22949,,,,
73,-0.20291908085346222,22999,,,,
73,-0.15930616855621338,23049,,,,
73,-0.1518074870109558,23099,,,,
73,-0.1482313573360443,23149,,,,
73,,23161,0.4573462903499603,0.8525999784469604,,
73,,23161,,,0.823477029800415,0.9033499956130981
74,-0.30381110310554504,23199,,,,
74,-0.17513388395309448,23249,,,,
74,-0.21825937926769257,23299,,,,
74,-0.10017699003219604,23349,,,,
74,-0.12622910737991333,23399,,,,
74,-0.15582644939422607,23449,,,,
74,,23474,0.4680808186531067,0.847100019454956,,
74,,23474,,,0.8260482549667358,0.9063249826431274
75,-0.0894414484500885,23499,,,,
75,-0.16039445996284485,23549,,,,
75,-0.140620619058609,23599,,,,
75,-0.11444282531738281,23649,,,,
75,-0.15255746245384216,23699,,,,
75,-0.18910065293312073,23749,,,,
75,,23787,0.4602479636669159,0.8518999814987183,,
75,,23787,,,0.8254548907279968,0.9043750166893005
76,-0.19297057390213013,23799,,,,
76,-0.23993134498596191,23849,,,,
76,-0.16657894849777222,23899,,,,
76,-0.22865532338619232,23949,,,,
76,0.03509336709976196,23999,,,,
76,-0.20420250296592712,24049,,,,
76,-0.2362719029188156,24099,,,,
76,,24100,0.4652940034866333,0.8529999852180481,,
76,,24100,,,0.8236748576164246,0.9077249765396118
77,-0.34922266006469727,24149,,,,
77,-0.2686000466346741,24199,,,,
77,-0.20343124866485596,24249,,,,
77,-0.2275923788547516,24299,,,,
77,-0.18662029504776,24349,,,,
77,-0.091920405626297,24399,,,,
77,,24413,0.46791163086891174,0.853600025177002,,
77,,24413,,,0.824960470199585,0.9107499718666077
78,-0.1741817593574524,24449,,,,
78,-0.3914741575717926,24499,,,,
78,-0.20306694507598877,24549,,,,
78,-0.27150166034698486,24599,,,,
78,-0.29267215728759766,24649,,,,
78,-0.34875383973121643,24699,,,,
78,,24726,0.4853213429450989,0.8490999937057495,,
78,,24726,,,0.8252571225166321,0.9122750163078308
