step,epoch,train_loss,train_acc,test_acc
19349,49,0.9914842844009399,,
19399,49,0.8477900624275208,,
19449,49,1.0412155389785767,,
19499,49,0.7588462829589844,,
19499,49,,0.7353565692901611,0.7728000283241272
19549,50,0.8004821538925171,,
19599,50,1.032202959060669,,
19649,50,0.880302369594574,,
19699,50,0.6484262943267822,,
19749,50,0.8295873403549194,,
19799,50,0.8059611320495605,,
19849,50,1.0828869342803955,,
19889,50,,0.7372996807098389,0.8077999949455261
19899,51,1.061109185218811,,
19949,51,1.0085468292236328,,
19999,51,0.9572022557258606,,
20049,51,1.0641913414001465,,
20099,51,0.9388830065727234,,
20149,51,0.9547157883644104,,
20199,51,0.9325832724571228,,
20249,51,0.9326717257499695,,
20279,51,,0.7395632863044739,0.8034999966621399
20299,52,0.9394655823707581,,
20349,52,1.032439112663269,,
20399,52,0.931280791759491,,
20449,52,0.8869727849960327,,
20499,52,0.7671718001365662,,
20549,52,0.8091219663619995,,
20599,52,0.8736667037010193,,
20649,52,0.761684000492096,,
20669,52,,0.7388020753860474,0.7667999863624573
20699,53,0.9622089266777039,,
20749,53,0.9235274195671082,,
20799,53,1.1391352415084839,,
20849,53,0.8997970223426819,,
20899,53,0.8356173634529114,,
20949,53,0.9243632555007935,,
20999,53,0.9524366855621338,,
21049,53,0.8439038395881653,,
21059,53,,0.7399839758872986,0.8023999929428101
21099,54,0.7757421731948853,,
21149,54,1.040930986404419,,
21199,54,0.9571855664253235,,
21249,54,1.0149524211883545,,
21299,54,0.7303383350372314,,
21349,54,0.9401733875274658,,
21399,54,1.2483359575271606,,
21449,54,0.8906165361404419,,
21449,54,,0.7378004789352417,0.7985000014305115
21499,55,0.73058021068573,,
21549,55,0.9958374500274658,,
21599,55,0.9771609902381897,,
21649,55,1.0715252161026,,
21699,55,0.6530446410179138,,
21749,55,0.964936375617981,,
21799,55,0.8131289482116699,,
21839,55,,0.7370793223381042,0.739300012588501
21849,56,1.0720388889312744,,
21899,56,0.9946202635765076,,
21949,56,0.954592227935791,,
21999,56,0.9276099801063538,,
22049,56,0.9381492733955383,,
22099,56,1.028078317642212,,
22149,56,0.8701301217079163,,
22199,56,1.2136160135269165,,
22229,56,,0.739182710647583,0.7732999920845032
22249,57,1.0351499319076538,,
22299,57,0.9383212327957153,,
22349,57,0.757007896900177,,
22399,57,0.9047015905380249,,
22449,57,0.888039767742157,,
22499,57,0.8478912115097046,,
22549,57,0.7392306923866272,,
22599,57,0.9363871812820435,,
22619,57,,0.740705132484436,0.8134999871253967
22649,58,1.0399062633514404,,
22699,58,0.8373273611068726,,
22749,58,1.0211580991744995,,
22799,58,0.9441497325897217,,
22849,58,0.9160357117652893,,
22899,58,1.0834217071533203,,
22949,58,1.0240496397018433,,
22999,58,0.7321430444717407,,
23009,58,,0.7397836446762085,0.7843999862670898
23049,59,0.9676591753959656,,
23099,59,0.9750405550003052,,
23149,59,1.0803802013397217,,
23199,59,0.7672950029373169,,
23249,59,1.0130870342254639,,
23299,59,0.923012912273407,,
23349,59,1.0249906778335571,,
23399,59,0.929040789604187,,
23399,59,,0.7404046654701233,0.817799985408783
23449,60,0.6588656902313232,,
23499,60,0.6896967887878418,,
23549,60,0.9448567032814026,,
23599,60,0.8591514825820923,,
23649,60,0.7578657865524292,,
23699,60,0.6790658235549927,,
23749,60,0.6734275221824646,,
23789,60,,0.7857171297073364,0.8971999883651733
23799,61,0.8864490389823914,,
23849,61,0.705986738204956,,
23899,61,0.720434844493866,,
23949,61,0.5287199020385742,,
23999,61,0.7715242505073547,,
24049,61,0.733744204044342,,
24099,61,0.7250775098800659,,
24149,61,0.746161699295044,,
24179,61,,0.8000600934028625,0.8974999785423279
24199,62,0.7749913334846497,,
24249,62,0.8119524717330933,,
24299,62,0.6358469724655151,,
24349,62,0.815665066242218,,
24399,62,0.8452286124229431,,
24449,62,0.7173229455947876,,
24499,62,0.6364834904670715,,
24549,62,1.0494091510772705,,
24569,62,,0.8083133101463318,0.9010000228881836
24599,63,0.9587193727493286,,
24649,63,0.7163832187652588,,
24699,63,0.7486060857772827,,
24749,63,0.8620431423187256,,
24799,63,0.9492653012275696,,
24849,63,0.721530556678772,,
24899,63,0.9743832945823669,,
24949,63,0.5690848231315613,,
24959,63,,0.8129407167434692,0.9009000062942505
24999,64,0.7558199167251587,,
