epoch,test_acc,train_loss
88,87.55,-2.589
89,87.45,-2.82
89,87.45,-3.402
89,87.45,-2.4197
89,87.45,-3.3372
89,87.45,-2.907
89,87.45,-2.7173
89,87.45,-3.0966
90,87.42,-3.5371
90,87.42,-3.2598
90,87.42,-2.6273
90,87.42,-3.3191
90,87.42,-3.5481
90,87.42,-3.1358
90,87.42,-3.3426
91,87.46,-2.7266
91,87.46,-3.5426
91,87.46,-3.2269
91,87.46,-2.6284
91,87.46,-3.4948
91,87.46,-3.124
91,87.46,-3.6204
92,87.37,-4.0678
92,87.37,-2.1471
92,87.37,-3.7155
92,87.37,-3.7098
92,87.37,-4.3779
92,87.37,-3.8284
92,87.37,-3.1887
93,87.32,-4.2059
93,87.32,-3.4799
93,87.32,-3.9023
93,87.32,-2.8947
93,87.32,-3.5331
93,87.32,-3.1124
93,87.32,-4.1309
94,87.51,-2.9173
94,87.51,-3.53
94,87.51,-3.391
94,87.51,-4.1285
94,87.51,-3.0348
94,87.51,-3.4113
94,87.51,-3.8377
95,87.5,-3.5314
95,87.5,-4.1791
95,87.5,-3.7726
95,87.5,-3.6173
95,87.5,-3.8328
95,87.5,-3.3728
95,87.5,-4.5242
96,87.47,-3.1233
96,87.47,-3.6107
96,87.47,-4.185
96,87.47,-3.6378
96,87.47,-2.1626
96,87.47,-4.1643
96,87.47,-3.4149
97,87.54,-4.3595
97,87.54,-4.0879
97,87.54,-3.5719
97,87.54,-4.4881
97,87.54,-3.2941
97,87.54,-3.5114
97,87.54,-4.1304
98,87.52,-3.2747
98,87.52,-3.3316
98,87.52,-3.9972
98,87.52,-4.487
98,87.52,-3.7424
98,87.52,-3.5261
98,87.52,-2.6784
99,87.55,-3.8746
99,87.55,-2.7138
99,87.55,-3.4511
99,87.55,-3.5432
99,87.55,-2.6352
99,87.55,-2.9996
99,87.55,-3.7777
