step,epoch,train_loss,val_loss,val_acc,train_acc,test_acc
7799,24,,,,0.7599409222602844,0.8224999904632568
8111,25,,0.9321979284286499,0.7458000183105469,,
8111,25,0.8369137644767761,,,0.7711380124092102,0.8515999913215637
8149,26,1.3134374618530273,,,,
8199,26,0.8720146417617798,,,,
8249,26,0.976693332195282,,,,
8299,26,0.468532532453537,,,,
8349,26,0.48112648725509644,,,,
8363,26,,1.6242430210113525,0.6887000203132629,,
8363,26,,,,0.7607886791229248,0.7764999866485596
8399,27,0.3867628276348114,,,,
8449,27,0.26977285742759705,,,,
8499,27,0.1102549135684967,,,,
8549,27,0.18288595974445343,,,,
8584,27,,1.9416980743408203,0.699999988079071,,
8584,27,,,,0.922193169593811,0.7932000160217285
8599,28,0.09777722507715225,,,,
8649,28,0.11072521656751633,,,,
8699,28,0.2070203721523285,,,,
8749,28,0.22609563171863556,,,,
8799,28,0.3023712933063507,,,,
8811,28,,2.058540105819702,0.7093999981880188,,
8811,28,,,,0.9343336820602417,0.8138999938964844
8849,29,0.14573653042316437,,,,
8899,29,0.31015288829803467,,,,
8949,29,0.13826292753219604,,,,
8999,29,0.16727671027183533,,,,
9042,29,,2.001922369003296,0.7103999853134155,,
9042,29,,,,0.9361810088157654,0.8194000124931335
9049,30,0.11340110749006271,,,,
9099,30,0.11640575528144836,,,,
9149,30,0.0997135117650032,,,,
9199,30,0.08949310332536697,,,,
9249,30,0.17451956868171692,,,,
9275,30,,2.023089647293091,0.7031999826431274,,
9275,30,,,,0.9417247772216797,0.805899977684021
9299,31,0.1380186229944229,,,,
9349,31,0.136750727891922,,,,
9399,31,0.2280867099761963,,,,
9449,31,0.10221268981695175,,,,
9499,31,0.19703133404254913,,,,
9506,31,,2.0966336727142334,0.715499997138977,,
9506,31,,,,0.9422010183334351,0.8179000020027161
9549,32,0.15639764070510864,,,,
9599,32,0.21228887140750885,,,,
9649,32,0.21119417250156403,,,,
9699,32,0.1580037623643875,,,,
9740,32,,2.001891613006592,0.7289999723434448,,
9740,32,,,,0.94654780626297,0.8299000263214111
9749,33,0.19654862582683563,,,,
9799,33,0.11667987704277039,,,,
9849,33,0.13128302991390228,,,,
9899,33,0.2038571536540985,,,,
9949,33,0.09648538380861282,,,,
9979,33,,1.8251848220825195,0.729200005531311,,
9979,33,,,,0.9440703392028809,0.8360999822616577
9999,34,0.15143713355064392,,,,
10049,34,0.09698687493801117,,,,
10099,34,0.1220938041806221,,,,
10149,34,0.2615901529788971,,,,
10199,34,0.13200658559799194,,,,
10219,34,,1.9740121364593506,0.733299970626831,,
