train_loss,epoch,step,val_acc,val_loss,test_acc,train_acc
,44,14039,0.4634999930858612,5.282535076141357,,
,44,14039,,,0.6366000175476074,0.5186047554016113
-14.0581693649292,45,14049,,,,
-13.770173072814941,45,14099,,,,
-13.83565902709961,45,14149,,,,
-14.804264068603516,45,14199,,,,
-14.194324493408203,45,14249,,,,
-14.576371192932129,45,14299,,,,
-13.397133827209473,45,14349,,,,
,45,14351,0.4661000072956085,5.082106113433838,,
,45,14351,,,0.6546000242233276,0.5181540250778198
-14.710847854614258,46,14399,,,,
-13.993897438049316,46,14449,,,,
-14.53428840637207,46,14499,,,,
-14.388999938964844,46,14549,,,,
-14.256080627441406,46,14599,,,,
-14.89190673828125,46,14649,,,,
,46,14663,0.4799000024795532,4.950496673583984,,
,46,14663,,,0.6693999767303467,0.5180288553237915
-14.499411582946777,47,14699,,,,
-14.783555030822754,47,14749,,,,
-14.474359512329102,47,14799,,,,
-14.599549293518066,47,14849,,,,
-15.462980270385742,47,14899,,,,
-14.428566932678223,47,14949,,,,
,47,14975,0.48739999532699585,5.0759758949279785,,
,47,14975,,,0.666100025177002,0.5173026919364929
-15.047988891601562,48,14999,,,,
-14.288139343261719,48,15049,,,,
-14.201139450073242,48,15099,,,,
-15.800836563110352,48,15149,,,,
-14.882453918457031,48,15199,,,,
-14.538331031799316,48,15249,,,,
,48,15287,0.49480000138282776,4.710811138153076,,
,48,15287,,,0.6829000115394592,0.5172275900840759
-14.014070510864258,49,15299,,,,
-13.517068862915039,49,15349,,,,
-14.12240219116211,49,15399,,,,
-14.471687316894531,49,15449,,,,
-13.828861236572266,49,15499,,,,
-15.518789291381836,49,15549,,,,
-13.75572395324707,49,15599,,,,
,49,15599,0.4950000047683716,4.947687149047852,,
,49,15599,,,0.695900022983551,0.5199819803237915
-14.402584075927734,50,15649,,,,
-14.397907257080078,50,15699,,,,
-14.606889724731445,50,15749,,,,
-14.546043395996094,50,15799,,,,
-15.61369514465332,50,15849,,,,
-14.983055114746094,50,15899,,,,
,50,15911,0.49540001153945923,4.773151397705078,,
,50,15911,,,0.7031000256538391,0.5235627293586731
-15.192251205444336,51,15949,,,,
-14.334615707397461,51,15999,,,,
-15.594673156738281,51,16049,,,,
-13.622076988220215,51,16099,,,,
-14.23025131225586,51,16149,,,,
-14.409417152404785,51,16199,,,,
,51,16223,0.4887000024318695,5.063979148864746,,
,51,16223,,,0.6944000124931335,0.5212840437889099
-14.353424072265625,52,16249,,,,
-14.733158111572266,52,16299,,,,
-15.608050346374512,52,16349,,,,
-14.571183204650879,52,16399,,,,
-13.429738998413086,52,16449,,,,
-14.973199844360352,52,16499,,,,
,52,16535,0.5012999773025513,4.890340805053711,,
,52,16535,,,0.6962000131607056,0.5197566151618958
-14.212263107299805,53,16549,,,,
-13.771370887756348,53,16599,,,,
-14.464529037475586,53,16649,,,,
-14.235368728637695,53,16699,,,,
-15.37761402130127,53,16749,,,,
-14.621868133544922,53,16799,,,,
,53,16847,0.5098999738693237,4.9036993980407715,,
,53,16847,,,0.7218999862670898,0.5217848420143127
-15.385618209838867,54,16849,,,,
-14.798833847045898,54,16899,,,,
-14.434760093688965,54,16949,,,,
-15.65784740447998,54,16999,,,,
-14.544193267822266,54,17049,,,,
-14.265357971191406,54,17099,,,,
-12.840633392333984,54,17149,,,,
,54,17159,0.39890000224113464,6.24229621887207,,
,54,17159,,,0.5497000217437744,0.5223608016967773
-15.482940673828125,55,17199,,,,
-14.117412567138672,55,17249,,,,
-14.553885459899902,55,17299,,,,
-14.273412704467773,55,17349,,,,
-14.170661926269531,55,17399,,,,
-13.556941986083984,55,17449,,,,
,55,17471,0.4796000123023987,5.2532639503479,,
,55,17471,,,0.6726999878883362,0.5179537534713745
-14.443655014038086,56,17499,,,,
-14.680850982666016,56,17549,,,,
-14.754347801208496,56,17599,,,,
-14.441471099853516,56,17649,,,,
-13.496139526367188,56,17699,,,,
-13.926000595092773,56,17749,,,,
,56,17783,0.492900013923645,4.85654354095459,,
,56,17783,,,0.6632999777793884,0.5154997706413269
-14.13408088684082,57,17799,,,,
-14.284517288208008,57,17849,,,,
-15.076797485351562,57,17899,,,,
-14.42664909362793,57,17949,,,,
-15.322589874267578,57,17999,,,,
-14.187175750732422,57,18049,,,,
,57,18095,0.49570000171661377,5.148574352264404,,
,57,18095,,,0.684499979019165,0.5235627293586731
-15.307060241699219,58,18099,,,,
-14.377894401550293,58,18149,,,,
-14.21232795715332,58,18199,,,,
-15.431543350219727,58,18249,,,,
-14.23912525177002,58,18299,,,,
-15.517337799072266,58,18349,,,,
-14.6317777633667,58,18399,,,,
,58,18407,0.5105999708175659,4.955564975738525,,
,58,18407,,,0.713699996471405,0.5216847062110901
-14.47165298461914,59,18449,,,,
-14.622369766235352,59,18499,,,,
-14.971172332763672,59,18549,,,,
-13.856657981872559,59,18599,,,,
-14.318761825561523,59,18649,,,,
-14.335412979125977,59,18699,,,,
,59,18719,0.5105000138282776,4.657791614532471,,
,59,18719,,,0.7120000123977661,0.5209335088729858
-15.353172302246094,60,18749,,,,
-15.342611312866211,60,18799,,,,
-14.695615768432617,60,18849,,,,
-15.22172737121582,60,18899,,,,
-14.694050788879395,60,18949,,,,
-15.346603393554688,60,18999,,,,
,60,19031,0.5659999847412109,4.279531955718994,,
,60,19031,,,0.8102999925613403,0.5594450831413269
-14.750724792480469,61,19049,,,,
-15.436321258544922,61,19099,,,,
-14.41253662109375,61,19149,,,,
-15.536436080932617,61,19199,,,,
-15.094831466674805,61,19249,,,,
-14.000657081604004,61,19299,,,,
,61,19343,0.5666000247001648,4.298106670379639,,
,61,19343,,,0.8205999732017517,0.5740184187889099
-15.632420539855957,62,19349,,,,
-15.564498901367188,62,19399,,,,
-14.982229232788086,62,19449,,,,
-15.637655258178711,62,19499,,,,
-16.48434829711914,62,19549,,,,
-15.96351146697998,62,19599,,,,
-14.733846664428711,62,19649,,,,
,62,19655,0.5702999830245972,4.300668239593506,,
,62,19655,,,0.817799985408783,0.5805288553237915
-15.56105899810791,63,19699,,,,
-16.544109344482422,63,19749,,,,
-16.339141845703125,63,19799,,,,
-15.511972427368164,63,19849,,,,
-14.041336059570312,63,19899,,,,
-15.200969696044922,63,19949,,,,
,63,19967,0.5716000199317932,4.262374401092529,,
,63,19967,,,0.8248999714851379,0.586989164352417
-16.063371658325195,64,19999,,,,
-15.766318321228027,64,20049,,,,
-16.114416122436523,64,20099,,,,
-14.475333213806152,64,20149,,,,
-15.415128707885742,64,20199,,,,
-15.400920867919922,64,20249,,,,
,64,20279,0.5694000124931335,4.332215309143066,,
,64,20279,,,0.815500020980835,0.5889924168586731
2.7943572998046875,65,20299,,,,
2.7328543663024902,65,20349,,,,
2.2381832599639893,65,20399,,,,
2.251891851425171,65,20449,,,,
2.289435625076294,65,20499,,,,
2.155479907989502,65,20549,,,,
,65,20591,0.18140000104904175,7.907628059387207,,
,65,20591,,,0.2011999934911728,0.16070713102817535
2.1728830337524414,66,20599,,,,
2.5179409980773926,66,20649,,,,
2.18689227104187,66,20699,,,,
2.2476131916046143,66,20749,,,,
2.168458938598633,66,20799,,,,
2.2633206844329834,66,20849,,,,
2.325843334197998,66,20899,,,,
,66,20903,0.23360000550746918,3.3070309162139893,,
,66,20903,,,0.26030001044273376,0.20492789149284363
2.038033962249756,67,20949,,,,
2.175250291824341,67,20999,,,,
2.0313448905944824,67,21049,,,,
1.987415075302124,67,21099,,,,
2.1284430027008057,67,21149,,,,
2.060455799102783,67,21199,,,,
,67,21215,0.2736999988555908,2.0036041736602783,,
,67,21215,,,0.335099995136261,0.24601863324642181
2.103019952774048,68,21249,,,,
1.9968023300170898,68,21299,,,,
1.9546977281570435,68,21349,,,,
1.9608529806137085,68,21399,,,,
2.0060360431671143,68,21449,,,,
1.9292724132537842,68,21499,,,,
,68,21527,0.30709999799728394,1.90956449508667,,
,68,21527,,,0.39879998564720154,0.29151642322540283
1.9276524782180786,69,21549,,,,
1.8739433288574219,69,21599,,,,
1.8626255989074707,69,21649,,,,
1.9506169557571411,69,21699,,,,
1.8046525716781616,69,21749,,,,
1.9582613706588745,69,21799,,,,
,69,21839,0.3562000095844269,1.8276002407073975,,
,69,21839,,,0.4636000096797943,0.33173078298568726
1.8390251398086548,70,21849,,,,
1.8842285871505737,70,21899,,,,
1.917789340019226,70,21949,,,,
1.7816294431686401,70,21999,,,,
1.9102795124053955,70,22049,,,,
1.875893235206604,70,22099,,,,
1.7852599620819092,70,22149,,,,
,70,22151,0.3806000053882599,1.796636700630188,,
,70,22151,,,0.5,0.36969152092933655
1.8327401876449585,71,22199,,,,
1.7840933799743652,71,22249,,,,
1.8276023864746094,71,22299,,,,
1.8192052841186523,71,22349,,,,
1.7700446844100952,71,22399,,,,
1.758205533027649,71,22449,,,,
,71,22463,0.4275999963283539,1.7036619186401367,,
,71,22463,,,0.5723000168800354,0.4009164571762085
1.937088966369629,72,22499,,,,
1.7398914098739624,72,22549,,,,
1.728481411933899,72,22599,,,,
1.714921474456787,72,22649,,,,
1.681751012802124,72,22699,,,,
1.718434453010559,72,22749,,,,
,72,22775,0.4375,1.6813066005706787,,
,72,22775,,,0.5921000242233276,0.42918670177459717
1.8157007694244385,73,22799,,,,
1.6943998336791992,73,22849,,,,
1.607537031173706,73,22899,,,,
1.7050082683563232,73,22949,,,,
1.774183988571167,73,22999,,,,
1.6552661657333374,73,23049,,,,
,73,23087,0.46369999647140503,1.6323851346969604,,
