train_loss,step,epoch,val_acc,val_loss,train_acc,test_acc,mix_match_loss
,20849,45,,,,,4.0888891817303374e-05
,20899,45,,,,,4.100810474483296e-05
,20901,45,0.08309999853372574,11.297298431396484,,,
,20901,45,,,,0.10000000149011612,
,20949,46,,,,,4.100251680938527e-05
,20999,46,,,,,4.100810474483296e-05
,21049,46,,,,,4.101834929315373e-05
,21099,46,,,,,4.107236964046024e-05
,21149,46,,,,,4.111334783374332e-05
,21199,46,,,,,4.112732131034136e-05
,21249,46,,,,,4.1158047679346055e-05
,21299,46,,,,,4.119529694435187e-05
,21349,46,,,,,4.1246512409998104e-05
,21399,46,,,,,4.1246512409998104e-05
,21449,46,,,,,4.126793646719307e-05
,21475,46,0.08309999853372574,11.284544944763184,,,
,21475,46,,,,0.10000000149011612,
,21499,47,,,,,4.13657289755065e-05
,21549,47,,,,,4.1246512409998104e-05
,21599,47,,,,,4.130798333790153e-05
,21649,47,,,,,4.128563159611076e-05
,21699,47,,,,,4.13657289755065e-05
,21749,47,,,,,4.13657289755065e-05
,21799,47,,,,,4.13657289755065e-05
,21849,47,,,,,4.13657289755065e-05
,21899,47,,,,,4.13657289755065e-05
,21949,47,,,,,4.13657289755065e-05
,21999,47,,,,,4.13657289755065e-05
,22049,47,,,,,4.136572533752769e-05
,22049,47,0.08309999853372574,11.28347396850586,,,
,22049,47,,,,0.10000000149011612,
,22099,48,,,,,4.1246512409998104e-05
,22149,48,,,,,4.1246512409998104e-05
,22199,48,,,,,4.1246512409998104e-05
,22249,48,,,,,4.132567846681923e-05
,22299,48,,,,,4.1246512409998104e-05
,22349,48,,,,,4.1246512409998104e-05
,22399,48,,,,,4.1246512409998104e-05
,22449,48,,,,,4.1246512409998104e-05
,22499,48,,,,,4.112732131034136e-05
,22549,48,,,,,4.112732131034136e-05
,22599,48,,,,,4.100810474483296e-05
,22623,48,0.08309999853372574,11.286252975463867,,,
,22623,48,,,,0.10000000149011612,
,22649,49,,,,,4.100810474483296e-05
,22699,49,,,,,4.100810474483296e-05
,22749,49,,,,,4.0888891817303374e-05
,22799,49,,,,,4.0888891817303374e-05
,22849,49,,,,,4.0888891817303374e-05
,22899,49,,,,,4.088888817932457e-05
,22949,49,,,,,4.076968252775259e-05
,22999,49,,,,,4.0650469600223005e-05
,23049,49,,,,,4.0650469600223005e-05
,23099,49,,,,,4.053125303471461e-05
,23149,49,,,,,4.053125303471461e-05
,23197,49,0.08309999853372574,11.29759407043457,,,
,23197,49,,,,0.10000000149011612,
,23199,50,,,,,4.053125303471461e-05
,23249,50,,,,,4.041204374516383e-05
,23299,50,,,,,4.041204010718502e-05
,23349,50,,,,,4.017361789010465e-05
,23399,50,,,,,4.017361789010465e-05
,23449,50,,,,,4.017361789010465e-05
,23499,50,,,,,4.0054401324596256e-05
,23549,50,,,,,3.993519567302428e-05
,23599,50,,,,,3.993519567302428e-05
,23649,50,,,,,3.9815979107515886e-05
,23699,50,,,,,3.96967661799863e-05
,23749,50,,,,,3.9577571442350745e-05
,23771,50,0.08309999853372574,11.316232681274414,,,
,23771,50,,,,0.10000000149011612,
,23799,51,,,,,3.9577571442350745e-05
,23849,51,,,,,3.9577571442350745e-05
,23899,51,,,,,3.9339149225270376e-05
,23949,51,,,,,3.933914558729157e-05
,23999,51,,,,,3.921993629774079e-05
,24049,51,,,,,3.9100727008190006e-05
,24099,51,,,,,3.898151044268161e-05
,24149,51,,,,,3.8862319343024865e-05
,24199,51,,,,,3.8743110053474084e-05
,24249,51,,,,,3.8743110053474084e-05
,24299,51,,,,,3.850468419841491e-05
,24345,51,0.08309999853372574,11.342015266418457,,,
,24345,51,,,,0.10000000149011612,
,24349,52,,,,,3.85046805604361e-05
,24399,52,,,,,3.826626198133454e-05
,24449,52,,,,,3.826626198133454e-05
,24499,52,,,,,3.826626198133454e-05
,24549,52,,,,,3.80278579541482e-05
,24599,52,,,,,3.7908645026618615e-05
,24649,52,,,,,3.7789435737067834e-05
,24699,52,,,,,3.7789435737067834e-05
,24749,52,,,,,3.755100624402985e-05
,24799,52,,,,,3.743179331650026e-05
,24849,52,,,,,3.743179331650026e-05
,24899,52,,,,,3.731258766492829e-05
,24919,52,0.08309999853372574,11.371990203857422,,,
,24919,52,,,,0.10000000149011612,
,24949,53,,,,,3.719337109941989e-05
,24999,53,,,,,3.6954945244360715e-05
,25049,53,,,,,3.6954945244360715e-05
,25099,53,,,,,3.6835735954809934e-05
,25149,53,,,,,3.6716523027280346e-05
,25199,53,,,,,3.647811900009401e-05
,25249,53,,,,,3.647811900009401e-05
,25299,53,,,,,3.635890607256442e-05
,25349,53,,,,,3.612048749346286e-05
,25399,53,,,,,3.600127456593327e-05
,25449,53,,,,,3.600127456593327e-05
