epoch,step,train_loss,train_acc,test_acc
68,26699,-14.089666366577148,,
68,26749,-14.822793006896973,,
68,26799,-13.839205741882324,,
68,26849,-14.820440292358398,,
68,26899,-15.665369987487793,,
68,26909,,0.7997796535491943,0.9101999998092651
69,26949,-14.571503639221191,,
69,26999,-14.246414184570312,,
69,27049,-15.679275512695312,,
69,27099,-14.756224632263184,,
69,27149,-14.199043273925781,,
69,27199,-15.770427703857422,,
69,27249,-13.31540298461914,,
69,27299,-14.242056846618652,,
69,27299,,0.804527223110199,0.9138000011444092
70,27349,-13.735791206359863,,
70,27399,-12.56837272644043,,
70,27449,-12.654458999633789,,
70,27499,-11.515043258666992,,
70,27549,-11.523107528686523,,
70,27599,-10.91563892364502,,
70,27649,-11.829262733459473,,
70,27689,,0.7258012890815735,0.7879999876022339
71,27699,-11.909646034240723,,
71,27749,-12.720989227294922,,
71,27799,-12.095548629760742,,
71,27849,-12.290742874145508,,
71,27899,-11.975520133972168,,
71,27949,-12.041510581970215,,
71,27999,-11.424751281738281,,
71,28049,-11.30115795135498,,
71,28079,,0.7343549728393555,0.82669997215271
72,28099,-11.913984298706055,,
72,28149,-13.358263969421387,,
72,28199,-11.700835227966309,,
72,28249,-12.503663063049316,,
72,28299,-13.354503631591797,,
72,28349,-13.435379981994629,,
72,28399,-13.008676528930664,,
72,28449,-12.89185905456543,,
72,28469,,0.7510817050933838,0.8253999948501587
73,28499,-11.789127349853516,,
73,28549,-14.574392318725586,,
73,28599,-12.601452827453613,,
73,28649,-11.881559371948242,,
73,28699,-13.412748336791992,,
73,28749,-13.557442665100098,,
73,28799,-12.682635307312012,,
73,28849,-12.454448699951172,,
73,28859,,0.7633413672447205,0.8741000294685364
74,28899,-14.048282623291016,,
74,28949,-13.396475791931152,,
74,28999,-14.200469017028809,,
74,29049,-13.445033073425293,,
74,29099,-13.51511287689209,,
74,29149,-14.079615592956543,,
74,29199,-13.047529220581055,,
74,29249,-13.517402648925781,,
74,29249,,0.7754006385803223,0.8847000002861023
75,29299,-12.683149337768555,,
75,29349,-13.70146656036377,,
75,29399,-12.19989013671875,,
75,29449,-13.918289184570312,,
75,29499,-14.094490051269531,,
75,29549,-12.869511604309082,,
75,29599,-13.644376754760742,,
75,29639,,0.7825720906257629,0.8967999815940857
76,29649,-13.488554954528809,,
76,29699,-13.15287971496582,,
76,29749,-14.566226959228516,,
76,29799,-14.691079139709473,,
76,29849,-14.673097610473633,,
76,29899,-13.381940841674805,,
76,29949,-13.147254943847656,,
76,29999,-13.570073127746582,,
76,30029,,0.7917668223381042,0.9036999940872192
77,30049,-14.054337501525879,,
77,30099,-14.045421600341797,,
77,30149,-13.507423400878906,,
77,30199,-13.167769432067871,,
77,30249,-13.665887832641602,,
77,30299,-13.70582389831543,,
77,30349,-13.37899398803711,,
77,30399,-13.051973342895508,,
77,30419,,0.7977964878082275,0.9079999923706055
78,30449,-14.134394645690918,,
