step,train_loss,epoch,val_loss,val_acc,test_acc,train_acc
15499,0.797871470451355,49,,,,
15549,0.9170167446136475,49,,,,
15599,1.13901948928833,49,,,,
15599,,49,1.1691070795059204,0.64410001039505,,
15599,,49,,,0.7221999764442444,0.7445913553237915
15649,0.6703634262084961,50,,,,
15699,1.048582673072815,50,,,,
15749,0.8127959966659546,50,,,,
15799,0.962445855140686,50,,,,
15849,0.902633786201477,50,,,,
15899,0.9525018334388733,50,,,,
15911,,50,1.0961484909057617,0.6887000203132629,,
15911,,50,,,0.7820000052452087,0.7417117357254028
15949,0.9067068099975586,51,,,,
15999,0.9299439787864685,51,,,,
16049,1.0679841041564941,51,,,,
16099,0.930778443813324,51,,,,
16149,0.9664666056632996,51,,,,
16199,1.0527602434158325,51,,,,
16223,,51,1.0211730003356934,0.7080000042915344,,
16223,,51,,,0.8021000027656555,0.7440153956413269
16249,0.6914883255958557,52,,,,
16299,0.7862276434898376,52,,,,
16349,0.8276565670967102,52,,,,
16399,0.715570330619812,52,,,,
16449,1.1256071329116821,52,,,,
16499,0.8811196684837341,52,,,,
16535,,52,1.0192339420318604,0.704800009727478,,
16535,,52,,,0.8016999959945679,0.7472706437110901
16549,0.7723901867866516,53,,,,
16599,0.9995449185371399,53,,,,
16649,0.9014032483100891,53,,,,
16699,1.0483787059783936,53,,,,
16749,0.9949158430099487,53,,,,
16799,1.0358372926712036,53,,,,
16847,,53,1.1252291202545166,0.666700005531311,,
16847,,53,,,0.760200023651123,0.7436898946762085
16849,0.8153581023216248,54,,,,
16899,0.9624559879302979,54,,,,
16949,0.7174261212348938,54,,,,
16999,0.9250597953796387,54,,,,
17049,0.7266044020652771,54,,,,
17099,0.9130208492279053,54,,,,
17149,0.9833901524543762,54,,,,
17159,,54,1.1523507833480835,0.6626999974250793,,
17159,,54,,,0.7487999796867371,0.7451672554016113
17199,0.9883292317390442,55,,,,
17249,0.8705264329910278,55,,,,
17299,0.8966984152793884,55,,,,
17349,0.6780060529708862,55,,,,
17399,1.0070902109146118,55,,,,
17449,1.0162140130996704,55,,,,
