step,train_loss,epoch,val_loss,val_acc,train_acc,test_acc
20599,2.0412514209747314,66,,,,
20649,2.5913748741149902,66,,,,
20699,2.193603754043579,66,,,,
20749,2.135270118713379,66,,,,
20799,2.2755048274993896,66,,,,
20849,2.1011877059936523,66,,,,
20899,2.0976407527923584,66,,,,
20903,,66,2.0808584690093994,0.2669000029563904,,
20903,,66,,,0.22230568528175354,0.2639999985694885
20949,2.0952582359313965,67,,,,
20999,2.2858877182006836,67,,,,
21049,1.890066146850586,67,,,,
21099,1.8212108612060547,67,,,,
21149,1.879712700843811,67,,,,
21199,1.7913531064987183,67,,,,
21215,,67,1.8153318166732788,0.3158000111579895,,
21215,,67,,,0.2740134298801422,0.33180001378059387
21249,1.7599611282348633,68,,,,
21299,1.7024729251861572,68,,,,
21349,1.8497328758239746,68,,,,
21399,1.8515336513519287,68,,,,
21449,1.7536345720291138,68,,,,
21499,1.768722653388977,68,,,,
21527,,68,1.6866463422775269,0.3749000132083893,,
21527,,68,,,0.3449769616127014,0.3783999979496002
21549,1.6763274669647217,69,,,,
21599,1.62044095993042,69,,,,
21649,1.7892974615097046,69,,,,
21699,1.7593125104904175,69,,,,
21749,1.5054274797439575,69,,,,
21799,1.524086356163025,69,,,,
21839,,69,1.5671826601028442,0.43849998712539673,,
21839,,69,,,0.4144631326198578,0.45100000500679016
21849,1.5690796375274658,70,,,,
21899,1.3893471956253052,70,,,,
21949,1.393128752708435,70,,,,
21999,1.443536400794983,70,,,,
22049,1.6124780178070068,70,,,,
22099,1.389533281326294,70,,,,
22149,1.717197299003601,70,,,,
22151,,70,2.4417495727539062,0.21060000360012054,,
22151,,70,,,0.4748597741127014,0.20839999616146088
22199,1.5062366724014282,71,,,,
22249,1.6092530488967896,71,,,,
22299,1.3321324586868286,71,,,,
22349,1.4382277727127075,71,,,,
22399,1.365982174873352,71,,,,
22449,1.3780220746994019,71,,,,
22463,,71,1.3780797719955444,0.5205000042915344,,
22463,,71,,,0.5053085088729858,0.5339000225067139
22499,1.4107130765914917,72,,,,
22549,1.2755365371704102,72,,,,
22599,1.3336586952209473,72,,,,
22649,1.3204680681228638,72,,,,
22699,1.2407628297805786,72,,,,
22749,1.1331000328063965,72,,,,
22775,,72,1.1946550607681274,0.5949000120162964,,
22775,,72,,,0.5854617357254028,0.6216999888420105
22799,1.260332465171814,73,,,,
22849,1.1181058883666992,73,,,,
22899,1.0379245281219482,73,,,,
22949,1.1963717937469482,73,,,,
22999,1.2202602624893188,73,,,,
23049,1.1099810600280762,73,,,,
23087,,73,1.0828765630722046,0.6342999935150146,,
23087,,73,,,0.6256510615348816,0.6644999980926514
23099,1.0172938108444214,74,,,,
23149,0.9675676226615906,74,,,,
23199,0.954254686832428,74,,,,
23249,1.0609995126724243,74,,,,
23299,1.0336662530899048,74,,,,
23349,1.103535532951355,74,,,,
23399,1.0705921649932861,74,,,,
23399,,74,1.155286192893982,0.6182000041007996,,
23399,,74,,,0.6541466116905212,0.6427000164985657
23449,1.0135200023651123,75,,,,
23499,1.1298655271530151,75,,,,
23549,0.9831555485725403,75,,,,
23599,0.9404520988464355,75,,,,
23649,1.205088496208191,75,,,,
23699,0.9718921780586243,75,,,,
23711,,75,1.0437407493591309,0.6615999937057495,,
23711,,75,,,0.685546875,0.6796000003814697
23749,0.8998793959617615,76,,,,
23799,0.8784357905387878,76,,,,
23849,0.8928432464599609,76,,,,
23899,0.8184067010879517,76,,,,
23949,0.7867215871810913,76,,,,
23999,0.7604736089706421,76,,,,
24023,,76,0.9398339986801147,0.7027999758720398,,
24023,,76,,,0.7066556215286255,0.7329999804496765
24049,0.6460064649581909,77,,,,
24099,0.7056461572647095,77,,,,
24149,0.3298141658306122,77,,,,
24199,0.6047621965408325,77,,,,
24249,0.7658773064613342,77,,,,
24299,0.5401690006256104,77,,,,
24335,,77,1.023451805114746,0.6898999810218811,,
24335,,77,,,0.7228315472602844,0.7174999713897705
24349,0.2747717499732971,78,,,,
24399,0.38334259390830994,78,,,,
24449,0.5787978172302246,78,,,,
24499,0.6358202695846558,78,,,,
24549,0.35974353551864624,78,,,,
24599,0.35557425022125244,78,,,,
24647,,78,0.9702302813529968,0.7231000065803528,,
24647,,78,,,0.7335236668586731,0.7480000257492065
24649,0.1469825804233551,79,,,,
24699,-0.04485556483268738,79,,,,
24749,0.43653982877731323,79,,,,
24799,0.42324259877204895,79,,,,
24849,0.08020338416099548,79,,,,
24899,0.11891695111989975,79,,,,
24949,0.019137948751449585,79,,,,
24959,,79,1.0507394075393677,0.7145000100135803,,
24959,,79,,,0.7379307150840759,0.7544000148773193
24999,-0.21714285016059875,80,,,,
25049,-0.2184104323387146,80,,,,
25099,-0.1460871398448944,80,,,,
25149,-0.343266099691391,80,,,,
25199,-0.22818218171596527,80,,,,
25249,-0.12252603471279144,80,,,,
25271,,80,1.3129944801330566,0.6937000155448914,,
25271,,80,,,0.7461938858032227,0.7192000150680542
25299,-0.1366647630929947,81,,,,
25349,-0.5967661738395691,81,,,,
25399,-0.41484519839286804,81,,,,
25449,-0.5607384443283081,81,,,,
25499,-0.6176917552947998,81,,,,
25549,-0.5428357124328613,81,,,,
25583,,81,1.3352031707763672,0.6985999941825867,,
25583,,81,,,0.7475961446762085,0.732699990272522
25599,-0.7029848098754883,82,,,,
25649,-0.8821769952774048,82,,,,
25699,-0.6986243724822998,82,,,,
25749,-0.7826310992240906,82,,,,
25799,-0.862981379032135,82,,,,
25849,-0.5557243824005127,82,,,,
25895,,82,1.167925238609314,0.7283999919891357,,
25895,,82,,,0.7551832795143127,0.7646999955177307
25899,-0.7755878567695618,83,,,,
25949,-0.382080614566803,83,,,,
25999,-1.37619948387146,83,,,,
26049,-0.92958664894104,83,,,,
26099,-0.9405199289321899,83,,,,
26149,-1.0306205749511719,83,,,,
26199,-1.0100979804992676,83,,,,
26207,,83,1.3275444507598877,0.725600004196167,,
26207,,83,,,0.7640475034713745,0.7555999755859375
26249,-1.4626935720443726,84,,,,
26299,-1.2673896551132202,84,,,,
26349,-1.5046991109848022,84,,,,
26399,-0.7096449136734009,84,,,,
26449,-1.160226821899414,84,,,,
26499,-1.5006569623947144,84,,,,
26519,,84,1.4395378828048706,0.7228999733924866,,
