step,train_loss,epoch,val_acc,train_acc,test_acc
26549,nan,84,,,
26599,nan,84,,,
26604,,84,0.10140000283718109,,
26604,,84,,0.09965000301599503,0.1002769023180008
26649,nan,85,,,
26699,nan,85,,,
26749,nan,85,,,
26799,nan,85,,,
26849,nan,85,,,
26899,nan,85,,,
26917,,85,0.10140000283718109,,
26917,,85,,0.09965000301599503,0.1002769023180008
26949,nan,86,,,
26999,nan,86,,,
27049,nan,86,,,
27099,nan,86,,,
27149,nan,86,,,
27199,nan,86,,,
27230,,86,0.10140000283718109,,
27230,,86,,0.09965000301599503,0.1002769023180008
27249,nan,87,,,
27299,nan,87,,,
27349,nan,87,,,
27399,nan,87,,,
27449,nan,87,,,
27499,nan,87,,,
27543,,87,0.10140000283718109,,
27543,,87,,0.09965000301599503,0.1002769023180008
27549,nan,88,,,
27599,nan,88,,,
27649,nan,88,,,
27699,nan,88,,,
27749,nan,88,,,
27799,nan,88,,,
27849,nan,88,,,
27856,,88,0.10140000283718109,,
27856,,88,,0.09965000301599503,0.1002769023180008
27899,nan,89,,,
27949,nan,89,,,
27999,nan,89,,,
28049,nan,89,,,
28099,nan,89,,,
28149,nan,89,,,
28169,,89,0.10140000283718109,,
28169,,89,,0.09965000301599503,0.1002769023180008
28199,nan,90,,,
28249,nan,90,,,
28299,nan,90,,,
28349,nan,90,,,
28399,nan,90,,,
28449,nan,90,,,
28482,,90,0.10140000283718109,,
28482,,90,,0.09965000301599503,0.1002769023180008
28499,nan,91,,,
28549,nan,91,,,
28599,nan,91,,,
28649,nan,91,,,
28699,nan,91,,,
28749,nan,91,,,
28795,,91,0.10140000283718109,,
28795,,91,,0.09965000301599503,0.1002769023180008
28799,nan,92,,,
28849,nan,92,,,
28899,nan,92,,,
28949,nan,92,,,
28999,nan,92,,,
29049,nan,92,,,
29099,nan,92,,,
29108,,92,0.10140000283718109,,
29108,,92,,0.09965000301599503,0.1002769023180008
29149,nan,93,,,
29199,nan,93,,,
29249,nan,93,,,
29299,nan,93,,,
29349,nan,93,,,
29399,nan,93,,,
29421,,93,0.10140000283718109,,
29421,,93,,0.09965000301599503,0.1002769023180008
29449,nan,94,,,
29499,nan,94,,,
29549,nan,94,,,
29599,nan,94,,,
29649,nan,94,,,
29699,nan,94,,,
29734,,94,0.10140000283718109,,
29734,,94,,0.09965000301599503,0.1002769023180008
29749,nan,95,,,
29799,nan,95,,,
29849,nan,95,,,
29899,nan,95,,,
29949,nan,95,,,
29999,nan,95,,,
30047,,95,0.10140000283718109,,
30047,,95,,0.09965000301599503,0.1002769023180008
30049,nan,96,,,
30099,nan,96,,,
30149,nan,96,,,
30199,nan,96,,,
30249,nan,96,,,
30299,nan,96,,,
30349,nan,96,,,
30360,,96,0.10140000283718109,,
30360,,96,,0.09965000301599503,0.1002769023180008
30399,nan,97,,,
30449,nan,97,,,
30499,nan,97,,,
30549,nan,97,,,
30599,nan,97,,,
30649,nan,97,,,
30673,,97,0.10140000283718109,,
30673,,97,,0.09965000301599503,0.1002769023180008
30699,nan,98,,,
30749,nan,98,,,
30799,nan,98,,,
30849,nan,98,,,
30899,nan,98,,,
30949,nan,98,,,
30986,,98,0.10140000283718109,,
30986,,98,,0.09965000301599503,0.1002769023180008
30999,nan,99,,,
31049,nan,99,,,
31099,nan,99,,,
31149,nan,99,,,
31199,nan,99,,,
31249,nan,99,,,
31299,nan,99,,,
31299,,99,0.10140000283718109,,
31299,,99,,0.09965000301599503,0.1002769023180008
