step,epoch,train_loss,val_acc2,val_acc1,test_acc,train_acc1,train_acc2
6849,21,0.32827621698379517,,,,,
6863,21,,0.27399998903274536,0.2791999876499176,,,
6863,21,,,,0.29143592715263367,0.2731871008872986,0.2741636633872986
6899,22,0.34583500027656555,,,,,
6949,22,0.3289497494697571,,,,,
6999,22,0.2923426032066345,,,,,
7049,22,0.46031737327575684,,,,,
7099,22,0.3603619635105133,,,,,
7149,22,0.3354869782924652,,,,,
7175,22,,0.23649999499320984,0.24379999935626984,,,
7175,22,,,,0.28125,0.2668519616127014,0.26637619733810425
7199,23,0.41556376218795776,,,,,
7249,23,0.31228750944137573,,,,,
7299,23,0.30564022064208984,,,,,
7349,23,0.3504836857318878,,,,,
7399,23,0.35905465483665466,,,,,
7449,23,0.3058699369430542,,,,,
7487,23,,0.22840000689029694,0.22669999301433563,,,
7487,23,,,,0.24297863245010376,0.26832932233810425,0.2684294879436493
7499,24,0.383798211812973,,,,,
7549,24,0.34997686743736267,,,,,
7599,24,0.4466361701488495,,,,,
7649,24,0.35079652070999146,,,,,
7699,24,0.37141406536102295,,,,,
7749,24,0.38821133971214294,,,,,
7799,24,0.3754446506500244,,,,,
7799,24,,0.23510000109672546,0.22930000722408295,,,
7799,24,,,,0.2451542764902115,0.23227164149284363,0.2305939495563507
7849,25,0.3893078863620758,,,,,
7899,25,0.36550790071487427,,,,,
7949,25,0.3091610074043274,,,,,
7999,25,0.2933225929737091,,,,,
8049,25,0.3553473949432373,,,,,
8099,25,0.3197976350784302,,,,,
8111,25,,0.29660001397132874,0.2897999882698059,,,
8111,25,,,,0.29509493708610535,0.24634414911270142,0.24464142322540283
8149,26,0.3083500862121582,,,,,
8199,26,0.2908647060394287,,,,,
8249,26,0.3183712661266327,,,,,
8299,26,0.3255305290222168,,,,,
8349,26,0.31508392095565796,,,,,
8399,26,0.29202908277511597,,,,,
8423,26,,0.30390000343322754,0.3073999881744385,,,
8423,26,,,,0.31230220198631287,0.2884615361690521,0.2891876995563507
8449,27,0.2853088080883026,,,,,
8499,27,0.317218542098999,,,,,
8549,27,0.3164813220500946,,,,,
8599,27,0.3027040362358093,,,,,
8649,27,0.26206278800964355,,,,,
8699,27,0.2842221260070801,,,,,
8735,27,,0.3303000032901764,0.31679999828338623,,,
8735,27,,,,0.326246052980423,0.3065154254436493,0.30634015798568726
8749,28,0.31156453490257263,,,,,
8799,28,0.2789512276649475,,,,,
8849,28,0.364048033952713,,,,,
8899,28,0.2636808156967163,,,,,
8949,28,0.30427151918411255,,,,,
8999,28,0.29638680815696716,,,,,
9047,28,,0.3100999891757965,0.30250000953674316,,,
9047,28,,,,0.3577927350997925,0.31748297810554504,0.3164813816547394
9049,29,0.3130427598953247,,,,,
9099,29,0.2842525541782379,,,,,
9149,29,0.3744260370731354,,,,,
9199,29,0.31169286370277405,,,,,
9249,29,0.334939181804657,,,,,
9299,29,0.29354003071784973,,,,,
9349,29,0.2757212817668915,,,,,
9359,29,,0.3513999879360199,0.36469998955726624,,,
9359,29,,,,0.3772745132446289,0.3335336446762085,0.33315804600715637
9399,30,0.26781612634658813,,,,,
9449,30,0.2836560308933258,,,,,
9499,30,0.3026987314224243,,,,,
9549,30,0.2932174503803253,,,,,
9599,30,0.28534048795700073,,,,,
9649,30,0.27670547366142273,,,,,
9671,30,,0.33340001106262207,0.3409000039100647,,,
9671,30,,,,0.36046281456947327,0.34272336959838867,0.3411458432674408
9699,31,0.32091665267944336,,,,,
9749,31,0.29722610116004944,,,,,
9799,31,0.2604312002658844,,,,,
9849,31,0.316019743680954,,,,,
9899,31,0.31558576226234436,,,,,
9949,31,0.30661696195602417,,,,,
9983,31,,0.36149999499320984,0.34150001406669617,,,
9983,31,,,,0.37846124172210693,0.3493339419364929,0.34672975540161133
9999,32,0.3533775508403778,,,,,
10049,32,0.28209060430526733,,,,,
10099,32,0.33329498767852783,,,,,
10149,32,0.3099112808704376,,,,,
10199,32,0.32637378573417664,,,,,
10249,32,0.27814382314682007,,,,,
10295,32,,0.36980000138282776,0.37529999017715454,,,
10295,32,,,,0.38627374172210693,0.35256409645080566,0.35191306471824646
10299,33,0.3139277398586273,,,,,
10349,33,0.30121079087257385,,,,,
10399,33,0.3231010138988495,,,,,
10449,33,0.27851638197898865,,,,,
10499,33,0.3036719262599945,,,,,
10549,33,0.3097376227378845,,,,,
10599,33,0.28131163120269775,,,,,
10607,33,,0.38100001215934753,0.3806999921798706,,,
10607,33,,,,0.397844135761261,0.36305588483810425,0.36370691657066345
10649,34,0.3779866099357605,,,,,
10699,34,0.30561310052871704,,,,,
10749,34,0.30446332693099976,,,,,
10799,34,0.32817521691322327,,,,,
10849,34,0.28806227445602417,,,,,
10899,34,0.31749847531318665,,,,,
10919,34,,0.36160001158714294,0.37439998984336853,,,
10919,34,,,,0.3874604403972626,0.3650340437889099,0.36513420939445496
10949,35,0.281958669424057,,,,,
10999,35,0.3027694523334503,,,,,
11049,35,0.3309173285961151,,,,,
11099,35,0.3091428279876709,,,,,
11149,35,0.3448992967605591,,,,,
11199,35,0.2931360602378845,,,,,
11231,35,,0.4050000011920929,0.39259999990463257,,,
11231,35,,,,0.4107001721858978,0.35882410407066345,0.36030149459838867
11249,36,0.3057337999343872,,,,,
11299,36,0.30259421467781067,,,,,
11349,36,0.2842985689640045,,,,,
11399,36,0.30586856603622437,,,,,
11449,36,0.2978031039237976,,,,,
11499,36,0.28103068470954895,,,,,
11543,36,,0.39719998836517334,0.4004000127315521,,,
11543,36,,,,0.4059533178806305,0.37026742100715637,0.3720703125
11549,37,0.25749194622039795,,,,,
11599,37,0.2945061922073364,,,,,
11649,37,0.30396226048469543,,,,,
11699,37,0.28171858191490173,,,,,
11749,37,0.3103998601436615,,,,,
11799,37,0.3115009367465973,,,,,
11849,37,0.3265388011932373,,,,,
11855,37,,0.41260001063346863,0.4133000075817108,,,
11855,37,,,,0.421281635761261,0.37595152854919434,0.3771534562110901
11899,38,0.29310503602027893,,,,,
11949,38,0.33222365379333496,,,,,
11999,38,0.29307594895362854,,,,,
12049,38,0.32666531205177307,,,,,
12099,38,0.29619601368904114,,,,,
12149,38,0.2820349931716919,,,,,
12167,38,,0.4065000116825104,0.39959999918937683,,,
12167,38,,,,0.4209849536418915,0.38133513927459717,0.38108474016189575
12199,39,0.3192627727985382,,,,,
12249,39,0.28519508242607117,,,,,
12299,39,0.32010430097579956,,,,,
12349,39,0.3164364695549011,,,,,
12399,39,0.2878960967063904,,,,,
12449,39,0.3565526008605957,,,,,
12479,39,,0.40540000796318054,0.3815999925136566,,,
12479,39,,,,0.41712817549705505,0.38799577951431274,0.3914012312889099
12499,40,0.3132892847061157,,,,,
12549,40,0.30882567167282104,,,,,
12599,40,0.3100997805595398,,,,,
12649,40,0.2716957926750183,,,,,
12699,40,0.2935445308685303,,,,,
12749,40,0.2768813967704773,,,,,
12791,40,,0.3490999937057495,0.3628999888896942,,,
12791,40,,,,0.38785600662231445,0.3854667544364929,0.3832131326198578
12799,41,0.34490275382995605,,,,,
12849,41,0.2764940559864044,,,,,
12899,41,0.279052734375,,,,,
12949,41,0.3154129981994629,,,,,
12999,41,0.30828288197517395,,,,,
13049,41,0.28035786747932434,,,,,
13099,41,0.2720490097999573,,,,,
13103,41,,0.3840999901294708,0.40139999985694885,,,
13103,41,,,,0.41623812913894653,0.38198617100715637,0.38218650221824646
13149,42,0.26213744282722473,,,,,
13199,42,0.3081836998462677,,,,,
13249,42,0.3075859248638153,,,,,
13299,42,0.26919081807136536,,,,,
13349,42,0.3597780764102936,,,,,
13399,42,0.2978859841823578,,,,,
13415,42,,0.3720000088214874,0.382099986076355,,,
13415,42,,,,0.4144580662250519,0.3783052861690521,0.37973257899284363
13449,43,0.26463642716407776,,,,,
13499,43,0.2963072955608368,,,,,
13549,43,0.2503862679004669,,,,,
13599,43,0.2913147509098053,,,,,
