step,train_loss,epoch,val_acc,test_acc,train_acc
16799,-0.41023898124694824,53,,,
16847,,53,0.7366999983787537,,
16847,,53,,0.8503999710083008,0.7770933508872986
16849,-0.3714684247970581,54,,,
16899,-0.36883047223091125,54,,,
16949,-0.35304006934165955,54,,,
16999,-0.37051403522491455,54,,,
17049,-0.35028162598609924,54,,,
17099,-0.3846537470817566,54,,,
17149,-0.3087958097457886,54,,,
17159,,54,0.7329999804496765,,
17159,,54,,0.8478999733924866,0.7803735733032227
17199,-0.36299240589141846,55,,,
17249,-0.3638504445552826,55,,,
17299,-0.3565337061882019,55,,,
17349,-0.38028454780578613,55,,,
17399,-0.3767927289009094,55,,,
17449,-0.38981005549430847,55,,,
17471,,55,0.7364000082015991,,
17471,,55,,0.8578000068664551,0.7804737687110901
17499,-0.36685317754745483,56,,,
17549,-0.380834698677063,56,,,
17599,-0.44069868326187134,56,,,
17649,-0.3825007677078247,56,,,
17699,-0.39445924758911133,56,,,
17749,-0.4028748869895935,56,,,
17783,,56,0.7350999712944031,,
17783,,56,,0.8557999730110168,0.7835286259651184
17799,-0.34838956594467163,57,,,
17849,-0.4011200964450836,57,,,
17899,-0.32293441891670227,57,,,
17949,-0.31897515058517456,57,,,
17999,-0.3714279532432556,57,,,
18049,-0.3966979384422302,57,,,
18095,,57,0.7379000186920166,,
18095,,57,,0.8536999821662903,0.7792468070983887
18099,-0.39388060569763184,58,,,
18149,-0.3885185420513153,58,,,
18199,-0.39279454946517944,58,,,
18249,-0.3887750208377838,58,,,
18299,-0.39313071966171265,58,,,
18349,-0.3924869894981384,58,,,
18399,-0.39120566844940186,58,,,
18407,,58,0.7477999925613403,,
18407,,58,,0.8661999702453613,0.7808243036270142
18449,-0.38704150915145874,59,,,
18499,-0.3801446259021759,59,,,
18549,-0.39086490869522095,59,,,
18599,-0.41347169876098633,59,,,
18649,-0.34025838971138,59,,,
18699,-0.3859040141105652,59,,,
18719,,59,0.7376999855041504,,
18719,,59,,0.859000027179718,0.7799729704856873
18749,-0.38824155926704407,60,,,
18799,-0.386501669883728,60,,,
18849,-0.4026538133621216,60,,,
18899,-0.3976902663707733,60,,,
18949,-0.39192500710487366,60,,,
18999,-0.3796241283416748,60,,,
19031,,60,0.7590000033378601,,
19031,,60,,0.8834999799728394,0.7944461107254028
19049,-0.40162986516952515,61,,,
19099,-0.3673102557659149,61,,,
19149,-0.45368969440460205,61,,,
19199,-0.4086628556251526,61,,,
19249,-0.3403499126434326,61,,,
19299,-0.38793766498565674,61,,,
19343,,61,0.7609999775886536,,
19343,,61,,0.8883000016212463,0.8005809187889099
19349,-0.36738497018814087,62,,,
19399,-0.40914881229400635,62,,,
19449,-0.38111528754234314,62,,,
19499,-0.3800671100616455,62,,,
19549,-0.45799940824508667,62,,,
19599,-0.3961709141731262,62,,,
19649,-0.3818921148777008,62,,,
19655,,62,0.7634000182151794,,
19655,,62,,0.8913999795913696,0.8034855723381042
19699,-0.3982742428779602,63,,,
19749,-0.3985004425048828,63,,,
19799,-0.42456310987472534,63,,,
19849,-0.4312303066253662,63,,,
19899,-0.403136670589447,63,,,
19949,-0.3657083511352539,63,,,
19967,,63,0.7630000114440918,,
19967,,63,,0.8906000256538391,0.8055388331413269
19999,-0.4216145873069763,64,,,
20049,-0.4048953354358673,64,,,
20099,-0.3992308974266052,64,,,
20149,-0.41063207387924194,64,,,
20199,-0.38999438285827637,64,,,
20249,-0.3887220621109009,64,,,
20279,,64,0.7631999850273132,,
20279,,64,,0.8903999924659729,0.8056890964508057
20299,-0.44105780124664307,65,,,
20349,-0.44439059495925903,65,,,
20399,-0.39787983894348145,65,,,
20449,-0.40236160159111023,65,,,
20499,-0.36876970529556274,65,,,
