step,epoch,train_loss,val_loss,val_acc,test_acc,train_acc
19967,63,,,,0.9089000225067139,0.9041215777397156
19999,64,0.48356208205223083,,,,
20049,64,0.21161699295043945,,,,
20099,64,0.37377724051475525,,,,
20149,64,0.3307911455631256,,,,
20199,64,0.29340627789497375,,,,
20249,64,0.4303123950958252,,,,
20279,64,,0.5340026617050171,0.8568999767303467,,
20279,64,,,,0.9088000059127808,0.9086538553237915
20299,65,0.3083733022212982,,,,
20349,65,0.3015269935131073,,,,
20399,65,0.18675744533538818,,,,
20449,65,0.18179674446582794,,,,
20499,65,0.3264996111392975,,,,
20549,65,0.2815017104148865,,,,
20591,65,,0.5479915738105774,0.8529000282287598,,
20591,65,,,,0.9053999781608582,0.9127103090286255
20599,66,0.299468070268631,,,,
20649,66,0.19687187671661377,,,,
20699,66,0.3421812653541565,,,,
20749,66,0.32191699743270874,,,,
20799,66,0.2911161184310913,,,,
20849,66,0.5032447576522827,,,,
20899,66,0.41434115171432495,,,,
20903,66,,0.5649378895759583,0.8529000282287598,,
20903,66,,,,0.9096999764442444,0.9169671535491943
20949,67,0.30950257182121277,,,,
20999,67,0.3090613782405853,,,,
21049,67,0.22679640352725983,,,,
21099,67,0.411877304315567,,,,
21149,67,0.34304651618003845,,,,
21199,67,0.26605120301246643,,,,
21215,67,,0.5701985359191895,0.8513000011444092,,
21215,67,,,,0.9007999897003174,0.9208984375
21249,68,0.19628489017486572,,,,
21299,68,0.2624679505825043,,,,
21349,68,0.31346529722213745,,,,
21399,68,0.22811494767665863,,,,
21449,68,0.3296412527561188,,,,
21499,68,0.3453478217124939,,,,
21527,68,,0.5863560438156128,0.847599983215332,,
21527,68,,,,0.8999000191688538,0.9235276579856873
21549,69,0.21945182979106903,,,,
21599,69,0.2164316326379776,,,,
21649,69,0.22965814173221588,,,,
21699,69,0.2839706242084503,,,,
21749,69,0.27267178893089294,,,,
21799,69,0.2971338629722595,,,,
21839,69,,0.6089924573898315,0.8439000248908997,,
21839,69,,,,0.8967999815940857,0.9271584749221802
21849,70,0.25383874773979187,,,,
21899,70,0.21850211918354034,,,,
21949,70,0.32026368379592896,,,,
21999,70,0.19331103563308716,,,,
22049,70,0.2444104701280594,,,,
22099,70,0.2821331024169922,,,,
22149,70,0.30660712718963623,,,,
22151,70,,0.6119033098220825,0.8479999899864197,,
22151,70,,,,0.8934999704360962,0.9298127293586731
22199,71,0.18183554708957672,,,,
22249,71,0.20655758678913116,,,,
22299,71,0.16838055849075317,,,,
22349,71,0.24426697194576263,,,,
22399,71,0.18898671865463257,,,,
22449,71,0.347811758518219,,,,
22463,71,,0.6246246099472046,0.84170001745224,,
22463,71,,,,0.892300009727478,0.9310145974159241
22499,72,0.18802759051322937,,,,
22549,72,0.1826198548078537,,,,
22599,72,0.24582530558109283,,,,
22649,72,0.2406701296567917,,,,
22699,72,0.16114674508571625,,,,
22749,72,0.25603145360946655,,,,
22775,72,,0.6548720002174377,0.8388000130653381,,
22775,72,,,,0.8849999904632568,0.9349208474159241
22799,73,0.24057160317897797,,,,
22849,73,0.275048166513443,,,,
22899,73,0.24863144755363464,,,,
22949,73,0.20675797760486603,,,,
22999,73,0.16838017106056213,,,,
23049,73,0.1879444420337677,,,,
23087,73,,0.6668633222579956,0.8363999724388123,,
23087,73,,,,0.8873000144958496,0.9366987347602844
23099,74,0.1667720377445221,,,,
23149,74,0.09140875190496445,,,,
23199,74,0.2608969807624817,,,,
23249,74,0.18755267560482025,,,,
23299,74,0.23524214327335358,,,,
23349,74,0.17577506601810455,,,,
23399,74,0.335628867149353,,,,
23399,74,,0.6760358214378357,0.8392999768257141,,
23399,74,,,,0.8930000066757202,0.9364733695983887
23449,75,0.09525620192289352,,,,
23499,75,0.14944402873516083,,,,
23549,75,0.17867696285247803,,,,
23599,75,0.2830972969532013,,,,
23649,75,0.23312386870384216,,,,
23699,75,0.2208041101694107,,,,
23711,75,,0.6702895760536194,0.8435999751091003,,
23711,75,,,,0.8913999795913696,0.9404046535491943
23749,76,0.1629919558763504,,,,
23799,76,0.11253460496664047,,,,
23849,76,0.1371118426322937,,,,
23899,76,0.16921409964561462,,,,
23949,76,0.1616652011871338,,,,
23999,76,0.2452985942363739,,,,
24023,76,,0.6956813931465149,0.8385999798774719,,
24023,76,,,,0.8784999847412109,0.9398036599159241
24049,77,0.1722937673330307,,,,
24099,77,0.22323015332221985,,,,
24149,77,0.1632540374994278,,,,
24199,77,0.1622227430343628,,,,
24249,77,0.2858346104621887,,,,
24299,77,0.17485737800598145,,,,
24335,77,,0.6883012056350708,0.8361999988555908,,
24335,77,,,,0.8859999775886536,0.9400290250778198
24349,78,0.16151610016822815,,,,
24399,78,0.22994297742843628,,,,
24449,78,0.16670532524585724,,,,
24499,78,0.2870783507823944,,,,
24549,78,0.1671101152896881,,,,
24599,78,0.10625078529119492,,,,
24647,78,,0.7119970321655273,0.8346999883651733,,
24647,78,,,,0.8783000111579895,0.9420071840286255
24649,79,0.20174042880535126,,,,
24699,79,0.07881420850753784,,,,
24749,79,0.19257888197898865,,,,
24799,79,0.09510534256696701,,,,
24849,79,0.1723359227180481,,,,
24899,79,0.18499071896076202,,,,
24949,79,0.15238691866397858,,,,
24959,79,,0.7276962399482727,0.8327000141143799,,
24959,79,,,,0.8772000074386597,0.9417317509651184
24999,80,0.20022708177566528,,,,
25049,80,0.23451311886310577,,,,
25099,80,0.2868359684944153,,,,
25149,80,0.16543668508529663,,,,
25199,80,0.22435151040554047,,,,
25249,80,0.2126423865556717,,,,
25271,80,,0.7233993411064148,0.8381999731063843,,
25271,80,,,,0.8838000297546387,0.9441856741905212
25299,81,0.20725098252296448,,,,
25349,81,0.12370281666517258,,,,
25399,81,0.15059156715869904,,,,
25449,81,0.20082052052021027,,,,
