epoch,train_loss,step,val_acc,val_loss,train_acc,test_acc
24,-11.691732406616211,7549,,,,
24,-13.095270156860352,7599,,,,
24,-12.134408950805664,7649,,,,
24,-11.698700904846191,7699,,,,
24,-12.764979362487793,7749,,,,
24,-12.670127868652344,7799,,,,
24,,7799,0.8062000274658203,1.3152209520339966,,
24,,7799,,,0.8233423233032227,0.8514999747276306
25,-12.185981750488281,7849,,,,
25,-13.052106857299805,7899,,,,
25,-12.363030433654785,7949,,,,
25,-12.403221130371094,7999,,,,
25,-13.565950393676758,8049,,,,
25,-12.485921859741211,8099,,,,
25,,8111,0.8176000118255615,1.198110580444336,,
25,,8111,,,0.8364382982254028,0.8679999709129333
26,-12.541109085083008,8149,,,,
26,-12.0419282913208,8199,,,,
26,-13.288185119628906,8249,,,,
26,-12.991945266723633,8299,,,,
26,-13.663825988769531,8349,,,,
26,-13.64647388458252,8399,,,,
26,,8423,0.8306000232696533,1.1408032178878784,,
26,,8423,,,0.8465795516967773,0.8788999915122986
27,-13.622371673583984,8449,,,,
27,-13.818758010864258,8499,,,,
27,-13.663609504699707,8549,,,,
27,-13.958067893981934,8599,,,,
27,-12.86252212524414,8649,,,,
27,-13.752357482910156,8699,,,,
27,,8735,0.8356000185012817,1.0709532499313354,,
27,,8735,,,0.8565955758094788,0.88919997215271
28,-13.538914680480957,8749,,,,
28,-13.72501277923584,8799,,,,
28,-14.03024673461914,8849,,,,
28,-13.76784610748291,8899,,,,
28,-12.24024486541748,8949,,,,
28,-13.42226505279541,8999,,,,
28,,9047,0.8389000296592712,1.082749605178833,,
28,,9047,,,0.8614533543586731,0.8899000287055969
29,-14.791227340698242,9049,,,,
29,-13.388644218444824,9099,,,,
29,-14.22549057006836,9149,,,,
29,-13.879843711853027,9199,,,,
29,-14.344717979431152,9249,,,,
29,-15.400116920471191,9299,,,,
29,-13.741674423217773,9349,,,,
29,,9359,0.8429999947547913,1.0614545345306396,,
29,,9359,,,0.8674879670143127,0.894599974155426
30,-13.747262954711914,9399,,,,
30,-13.405927658081055,9449,,,,
30,-13.967488288879395,9499,,,,
30,-11.454170227050781,9549,,,,
30,-12.695630073547363,9599,,,,
30,-13.23427963256836,9649,,,,
30,,9671,0.7630000114440918,1.7060683965682983,,
30,,9671,,,0.7793469429016113,0.7954000234603882
31,-11.866388320922852,9699,,,,
31,-12.443450927734375,9749,,,,
31,-14.258993148803711,9799,,,,
31,-11.91748046875,9849,,,,
31,-12.94010066986084,9899,,,,
31,-11.291799545288086,9949,,,,
31,,9983,0.782800018787384,1.495667815208435,,
31,,9983,,,0.7909655570983887,0.8227999806404114
32,-12.510085105895996,9999,,,,
32,-12.827667236328125,10049,,,,
32,-12.894036293029785,10099,,,,
32,-13.226698875427246,10149,,,,
32,-12.389936447143555,10199,,,,
32,-12.293601989746094,10249,,,,
32,,10295,0.8016999959945679,1.387951374053955,,
32,,10295,,,0.8129507303237915,0.8446999788284302
33,-12.643038749694824,10299,,,,
33,-13.655513763427734,10349,,,,
33,-14.070399284362793,10399,,,,
33,-14.399343490600586,10449,,,,
33,-13.597799301147461,10499,,,,
33,-12.649283409118652,10549,,,,
33,-12.109137535095215,10599,,,,
33,,10607,0.8040000200271606,1.3667649030685425,,
33,,10607,,,0.8263221383094788,0.8467000126838684
34,-12.929413795471191,10649,,,,
34,-13.635146141052246,10699,,,,
34,-12.929435729980469,10749,,,,
34,-12.938711166381836,10799,,,,
34,-14.459266662597656,10849,,,,
34,-13.82651424407959,10899,,,,
34,,10919,0.8205000162124634,1.2151120901107788,,
34,,10919,,,0.8369390964508057,0.8651999831199646
35,-15.358696937561035,10949,,,,
35,-14.348243713378906,10999,,,,
35,-12.746185302734375,11049,,,,
35,-12.622581481933594,11099,,,,
35,-12.503040313720703,11149,,,,
35,-14.404354095458984,11199,,,,
35,,11231,0.8331999778747559,1.1239728927612305,,
35,,11231,,,0.8494841456413269,0.8770999908447266
36,-13.478429794311523,11249,,,,
36,-13.315720558166504,11299,,,,
36,-13.29538631439209,11349,,,,
36,-14.2428560256958,11399,,,,
36,-14.363189697265625,11449,,,,
36,-13.604631423950195,11499,,,,
36,,11543,0.8327000141143799,1.1306116580963135,,
36,,11543,,,0.8577223420143127,0.8822000026702881
37,-14.319493293762207,11549,,,,
37,-13.206642150878906,11599,,,,
37,-15.259771347045898,11649,,,,
37,-13.928146362304688,11699,,,,
37,-14.683881759643555,11749,,,,
37,-14.548467636108398,11799,,,,
37,-15.244257926940918,11849,,,,
37,,11855,0.8460999727249146,1.0745986700057983,,
37,,11855,,,0.8657602071762085,0.8938999772071838
38,-13.864895820617676,11899,,,,
38,-14.714747428894043,11949,,,,
38,-14.57528305053711,11999,,,,
38,-14.056499481201172,12049,,,,
38,-14.156755447387695,12099,,,,
38,-15.335681915283203,12149,,,,
38,,12167,0.8463000059127808,1.0478886365890503,,
38,,12167,,,0.8713441491127014,0.8978999853134155
39,-13.97360897064209,12199,,,,
39,-15.362298965454102,12249,,,,
39,-15.292691230773926,12299,,,,
39,-16.214862823486328,12349,,,,
39,-15.291484832763672,12399,,,,
39,-15.441752433776855,12449,,,,
39,,12479,0.8504999876022339,1.0443816184997559,,
39,,12479,,,0.874924898147583,0.9025999903678894
40,-14.916701316833496,12499,,,,
40,-13.161860466003418,12549,,,,
40,-12.062456130981445,12599,,,,
40,-13.819643020629883,12649,,,,
40,-13.052270889282227,12699,,,,
40,-13.56796932220459,12749,,,,
40,,12791,0.7134000062942505,2.1282451152801514,,
40,,12791,,,0.7907902598381042,0.7520999908447266
41,-12.985304832458496,12799,,,,
41,-12.55466079711914,12849,,,,
41,-12.067867279052734,12899,,,,
41,-11.876866340637207,12949,,,,
41,-12.63768196105957,12999,,,,
41,-12.438531875610352,13049,,,,
41,-13.863109588623047,13099,,,,
41,,13103,0.7731999754905701,1.6979892253875732,,
41,,13103,,,0.7983773946762085,0.8101999759674072
42,-13.378138542175293,13149,,,,
42,-12.779756546020508,13199,,,,
42,-12.15330696105957,13249,,,,
42,-12.319610595703125,13299,,,,
42,-13.194255828857422,13349,,,,
42,-11.85584545135498,13399,,,,
42,,13415,0.7849000096321106,1.6392937898635864,,
42,,13415,,,0.8141025900840759,0.8270999789237976
43,-11.686942100524902,13449,,,,
43,-12.978537559509277,13499,,,,
43,-13.288337707519531,13549,,,,
43,-13.459794998168945,13599,,,,
43,-12.00600528717041,13649,,,,
43,-13.595528602600098,13699,,,,
43,,13727,0.8144999742507935,1.3007763624191284,,
43,,13727,,,0.8342097401618958,0.859499990940094
44,-14.374536514282227,13749,,,,
44,-13.892380714416504,13799,,,,
44,-13.997504234313965,13849,,,,
44,-12.663925170898438,13899,,,,
44,-14.121930122375488,13949,,,,
44,-14.658186912536621,13999,,,,
44,,14039,0.824400007724762,1.2213622331619263,,
44,,14039,,,0.8452774286270142,0.8727999925613403
45,-13.71385669708252,14049,,,,
45,-13.472637176513672,14099,,,,
45,-13.721596717834473,14149,,,,
45,-14.15894889831543,14199,,,,
45,-14.297603607177734,14249,,,,
45,-13.817752838134766,14299,,,,
45,-14.508140563964844,14349,,,,
45,,14351,0.8349000215530396,1.1650499105453491,,
45,,14351,,,0.8558443784713745,0.8824999928474426
46,-13.148530006408691,14399,,,,
46,-12.699457168579102,14449,,,,
