epoch,step,train_loss,val_loss,val_acc,train_acc,test_acc
50,15749,0.6319829821586609,,,,
50,15799,0.49415335059165955,,,,
50,15849,0.7229574918746948,,,,
50,15899,0.5223217606544495,,,,
50,15911,,0.8131639957427979,0.7522000074386597,,
50,15911,,,,0.8214643597602844,0.7926999926567078
51,15949,0.549669086933136,,,,
51,15999,0.624477744102478,,,,
51,16049,0.45391756296157837,,,,
51,16099,0.6416717171669006,,,,
51,16149,0.6833418011665344,,,,
51,16199,0.556034505367279,,,,
51,16223,,0.8339170813560486,0.7526999711990356,,
51,16223,,,,0.8184094429016113,0.7904000282287598
52,16249,0.5140504240989685,,,,
52,16299,0.6759421825408936,,,,
52,16349,0.6318300366401672,,,,
52,16399,0.5780980587005615,,,,
52,16449,0.705425500869751,,,,
52,16499,0.5573151111602783,,,,
52,16535,,0.8663375973701477,0.7398999929428101,,
52,16535,,,,0.8211889266967773,0.7817000150680542
53,16549,0.6010926961898804,,,,
53,16599,0.5557786226272583,,,,
53,16649,0.49930015206336975,,,,
53,16699,0.871082067489624,,,,
53,16749,0.4891912043094635,,,,
53,16799,0.551798939704895,,,,
53,16847,,0.7796348333358765,0.7601000070571899,,
53,16847,,,,0.8232922554016113,0.7998999953269958
54,16849,0.6118687987327576,,,,
54,16899,0.5814430713653564,,,,
54,16949,0.5857290029525757,,,,
54,16999,0.6153725981712341,,,,
54,17049,0.6521432399749756,,,,
54,17099,0.5334686040878296,,,,
54,17149,0.7398520112037659,,,,
54,17159,,0.7635990977287292,0.76910001039505,,
54,17159,,,,0.8213391304016113,0.8073999881744385
55,17199,0.5400871634483337,,,,
55,17249,0.5500938892364502,,,,
55,17299,0.6503369212150574,,,,
55,17349,0.5687657594680786,,,,
55,17399,0.3991371989250183,,,,
55,17449,0.5829175710678101,,,,
55,17471,,0.7048775553703308,0.7875000238418579,,
55,17471,,,,0.8195112347602844,0.824400007724762
56,17499,0.6258423924446106,,,,
56,17549,0.43979400396347046,,,,
56,17599,0.6251516342163086,,,,
56,17649,0.533809244632721,,,,
56,17699,0.6842532157897949,,,,
56,17749,0.4793034493923187,,,,
56,17783,,0.8473319411277771,0.7386999726295471,,
56,17783,,,,0.8229667544364929,0.7750999927520752
57,17799,0.5550562739372253,,,,
57,17849,0.7036038637161255,,,,
57,17899,0.5867860913276672,,,,
57,17949,0.5948842167854309,,,,
57,17999,0.5338637828826904,,,,
57,18049,0.606526255607605,,,,
57,18095,,0.7555712461471558,0.7807999849319458,,
57,18095,,,,0.8233674168586731,0.8076000213623047
58,18099,0.47478580474853516,,,,
58,18149,0.5045521259307861,,,,
58,18199,0.5220553278923035,,,,
58,18249,0.48220816254615784,,,,
58,18299,0.5924246311187744,,,,
58,18349,0.5389991998672485,,,,
58,18399,0.583971381187439,,,,
58,18407,,0.7933937907218933,0.7577000260353088,,
58,18407,,,,0.8226913213729858,0.7876999974250793
59,18449,0.802183985710144,,,,
59,18499,0.5089000463485718,,,,
59,18549,0.6887518763542175,,,,
59,18599,0.45461151003837585,,,,
59,18649,0.45996856689453125,,,,
59,18699,0.8515434861183167,,,,
59,18719,,0.6710484623908997,0.800599992275238,,
59,18719,,,,0.8217648267745972,0.8500999808311462
60,18749,0.43488696217536926,,,,
60,18799,0.3866259753704071,,,,
60,18849,0.419558048248291,,,,
60,18899,0.5185642242431641,,,,
60,18949,0.38946378231048584,,,,
60,18999,0.32887542247772217,,,,
60,19031,,0.5307276248931885,0.8522999882698059,,
60,19031,,,,0.8743739724159241,0.9002000093460083
61,19049,0.3531535863876343,,,,
61,19099,0.4006788730621338,,,,
61,19149,0.6316283941268921,,,,
61,19199,0.4108288884162903,,,,
61,19249,0.5204067230224609,,,,
61,19299,0.5032591819763184,,,,
61,19343,,0.5289759039878845,0.8547999858856201,,
61,19343,,,,0.8896734714508057,0.8999000191688538
62,19349,0.3394586741924286,,,,
62,19399,0.40490418672561646,,,,
