epoch,mix_match_loss,step,test_acc,train_acc,train_loss
62,2.6745176315307617,25499,,,
62,2.6725645065307617,25549,,,
62,,25574,0.5081999897956848,,
63,2.2857818603515625,25599,,,
63,2.940958023071289,25649,,,
63,2.805494785308838,25699,,,
63,2.6192119121551514,25749,,,
63,3.2025070190429688,25799,,,
63,2.1729538440704346,25849,,,
63,1.9295728206634521,25899,,,
63,2.6412501335144043,25949,,,
63,2.8019332885742188,25999,,,
63,,26001,0.5098999738693237,,
64,1.5621763467788696,26049,,,
64,1.4566590785980225,26099,,,
64,2.837297201156616,26149,,,
64,2.7504775524139404,26199,,,
64,2.8291099071502686,26249,,,
64,2.5040910243988037,26299,,,
64,2.72932767868042,26349,,,
64,2.348491668701172,26399,,,
64,,26425,0.5242000222206116,,
65,2.516408681869507,26449,,,
65,2.632807731628418,26499,,,
65,2.8621959686279297,26549,,,
65,2.4600441455841064,26599,,,
65,2.8052070140838623,26649,,,
65,3.0148298740386963,26699,,,
65,2.969266891479492,26749,,,
65,2.410158395767212,26799,,,
65,,26842,0.5267999768257141,,
66,1.9488508701324463,26849,,,
66,2.8084542751312256,26899,,,
66,2.5617599487304688,26949,,,
66,2.343210220336914,26999,,,
66,1.80693519115448,27049,,,
66,2.6692745685577393,27099,,,
66,2.450265407562256,27149,,,
66,2.8344316482543945,27199,,,
66,2.87463641166687,27249,,,
66,,27260,0.5188000202178955,,
67,1.9674397706985474,27299,,,
67,2.8052940368652344,27349,,,
67,2.3309855461120605,27399,,,
67,2.627204418182373,27449,,,
67,2.7957799434661865,27499,,,
67,2.642874240875244,27549,,,
67,2.763519525527954,27599,,,
67,2.542701005935669,27649,,,
67,,27682,0.5098999738693237,,
68,2.433699369430542,27699,,,
68,2.7920901775360107,27749,,,
68,1.748245358467102,27799,,,
68,2.998487710952759,27849,,,
68,2.3023133277893066,27899,,,
68,2.906514883041382,27949,,,
68,2.658747434616089,27999,,,
68,2.7328379154205322,28049,,,
68,2.5066275596618652,28099,,,
68,,28106,0.5202000141143799,,
69,3.070655584335327,28149,,,
69,2.4589948654174805,28199,,,
69,2.4192020893096924,28249,,,
69,1.9382507801055908,28299,,,
69,2.5329208374023438,28349,,,
69,2.7288668155670166,28399,,,
69,2.7066798210144043,28449,,,
69,2.704418897628784,28499,,,
69,,28524,0.5315999984741211,,
70,2.1277527809143066,28549,,,
70,1.4419530630111694,28599,,,
70,2.935546875,28649,,,
70,2.685631275177002,28699,,,
70,2.5871164798736572,28749,,,
70,2.846454620361328,28799,,,
70,2.115382671356201,28849,,,
70,2.507307291030884,28899,,,
70,,28938,0.5148000121116638,,
71,1.5529706478118896,28949,,,
71,2.8219645023345947,28999,,,
71,2.052705764770508,29049,,,
71,2.8461670875549316,29099,,,
71,2.456954002380371,29149,,,
71,2.0771524906158447,29199,,,
71,2.9224300384521484,29249,,,
71,2.17785382270813,29299,,,
71,2.125929832458496,29349,,,
71,,29365,0.5213000178337097,,
72,2.433568000793457,29399,,,
72,2.7433652877807617,29449,,,
72,3.104048013687134,29499,,,
72,2.719942092895508,29549,,,
72,2.615863800048828,29599,,,
72,2.946782112121582,29649,,,
72,2.5641229152679443,29699,,,
72,2.7925095558166504,29749,,,
72,,29786,0.5315999984741211,,
73,2.4519236087799072,29799,,,
73,2.766915798187256,29849,,,
73,2.6326794624328613,29899,,,
73,2.8749876022338867,29949,,,
73,1.6721582412719727,29999,,,
73,2.863607883453369,30049,,,
73,2.800844430923462,30099,,,
73,2.6466903686523438,30149,,,
73,2.61690092086792,30199,,,
73,,30200,0.5511999726295471,,
74,2.598078489303589,30249,,,
74,2.718001365661621,30299,,,
74,2.745943069458008,30349,,,
74,2.637280225753784,30399,,,
74,2.631350040435791,30449,,,
74,2.7314209938049316,30499,,,
74,2.5822832584381104,30549,,,
74,2.472388982772827,30599,,,
74,,30606,0.5200999975204468,,
75,2.499877452850342,30649,,,
75,2.8325254917144775,30699,,,
75,2.8861002922058105,30749,,,
75,2.3637566566467285,30799,,,
75,2.5812413692474365,30849,,,
75,2.136183261871338,30899,,,
75,2.4415130615234375,30949,,,
75,1.516713261604309,30999,,,
75,,31025,0.5379999876022339,,
76,2.6408252716064453,31049,,,
76,1.751607894897461,31099,,,
76,2.819394588470459,31149,,,
76,2.7315821647644043,31199,,,
76,2.606882333755493,31249,,,
76,2.881239175796509,31299,,,
76,2.625810384750366,31349,,,
76,2.4578702449798584,31399,,,
76,,31437,0.5464000105857849,,
77,2.30523943901062,31449,,,
77,2.634909152984619,31499,,,
77,2.7806315422058105,31549,,,
77,2.6413540840148926,31599,,,
77,2.5051474571228027,31649,,,
77,2.3745713233947754,31699,,,
77,2.419437885284424,31749,,,
77,2.7806789875030518,31799,,,
77,,31844,0.535099983215332,,
78,2.2033729553222656,31849,,,
78,1.3100600242614746,31899,,,
78,2.2266993522644043,31949,,,
78,2.875613212585449,31999,,,
78,2.8088669776916504,32049,,,
78,2.8315188884735107,32099,,,
78,2.50600528717041,32149,,,
78,2.5531466007232666,32199,,,
78,2.6913185119628906,32249,,,
78,,32259,0.527400016784668,,
79,2.6264469623565674,32299,,,
79,2.634780168533325,32349,,,
79,2.7440619468688965,32399,,,
79,2.7914211750030518,32449,,,
79,2.1809260845184326,32499,,,
79,2.4700493812561035,32549,,,
79,2.3424761295318604,32599,,,
79,2.5712392330169678,32649,,,
79,,32674,0.5389000177383423,,
80,1.9157229661941528,32699,,,
80,2.2625796794891357,32749,,,
80,2.542895793914795,32799,,,
80,2.5755996704101562,32849,,,
80,2.6055753231048584,32899,,,
80,2.798109769821167,32949,,,
80,2.1071228981018066,32999,,,
80,2.6285064220428467,33049,,,
80,,33085,0.5347999930381775,,
81,3.067906379699707,33099,,,
81,2.1616127490997314,33149,,,
81,2.729515552520752,33199,,,
81,2.272808313369751,33249,,,
81,2.113673210144043,33299,,,
81,2.4508440494537354,33349,,,
81,2.255392551422119,33399,,,
81,2.2556910514831543,33449,,,
81,,33495,0.5533000230789185,,
82,2.4786503314971924,33499,,,
82,2.7435500621795654,33549,,,
82,2.7548112869262695,33599,,,
82,2.7428951263427734,33649,,,
82,2.63710355758667,33699,,,
82,2.656604528427124,33749,,,
82,2.267327308654785,33799,,,
82,2.6230814456939697,33849,,,
82,,33894,0.5486999750137329,,
83,1.7841625213623047,33899,,,
83,2.88139271736145,33949,,,
83,2.755058526992798,33999,,,
83,2.5767111778259277,34049,,,
83,2.4086873531341553,34099,,,
83,2.34696888923645,34149,,,
83,2.2600276470184326,34199,,,
83,2.7427492141723633,34249,,,
83,2.7106826305389404,34299,,,
83,,34301,0.5392000079154968,,
84,2.3263132572174072,34349,,,
84,2.0946576595306396,34399,,,
84,2.5670878887176514,34449,,,
84,2.5438783168792725,34499,,,
84,2.790274143218994,34549,,,
84,2.737666368484497,34599,,,
84,2.6575937271118164,34649,,,
84,2.505708932876587,34699,,,
84,,34706,0.5577999949455261,,
85,2.375110387802124,34749,,,
85,2.5821447372436523,34799,,,
85,2.7499377727508545,34849,,,
85,2.3771207332611084,34899,,,
