step,epoch,train_loss,val_loss,val_acc,train_acc,test_acc
11055,48,,3.00927996635437,0.48539999127388,,
11055,48,,,,0.8730345964431763,0.5047468543052673
11099,49,0.3952418863773346,,,,
11149,49,0.4355212152004242,,,,
11199,49,0.3784329891204834,,,,
11214,49,,3.1388158798217773,0.4925000071525574,,
11214,49,,,,0.8767197132110596,0.4889240562915802
11249,50,0.29146984219551086,,,,
11299,50,0.4257998466491699,,,,
11349,50,0.42366302013397217,,,,
11368,50,,2.7827298641204834,0.5292999744415283,,
11368,50,,,,0.8828632235527039,0.4970332384109497
11399,51,0.4499855041503906,,,,
11449,51,0.2549680769443512,,,,
11499,51,0.24629183113574982,,,,
11523,51,,2.666212797164917,0.5328999757766724,,
11523,51,,,,0.8897177577018738,0.5029667615890503
11549,52,0.36623966693878174,,,,
11599,52,0.3168357312679291,,,,
11649,52,0.3793576955795288,,,,
11680,52,,2.9246528148651123,0.5325999855995178,,
11680,52,,,,0.8886345624923706,0.5101858973503113
11699,53,0.35076218843460083,,,,
11749,53,0.341187983751297,,,,
11799,53,0.37518709897994995,,,,
11841,53,,2.8700268268585205,0.515999972820282,,
11841,53,,,,0.8869856595993042,0.527492105960846
11849,54,0.2511889338493347,,,,
11899,54,0.24941328167915344,,,,
11949,54,0.38226863741874695,,,,
11999,54,0.3334607183933258,,,,
12007,54,,2.7200815677642822,0.5464000105857849,,
12007,54,,,,0.885495126247406,0.5272942781448364
12049,55,0.28396716713905334,,,,
12099,55,0.28212788701057434,,,,
12149,55,0.5369181632995605,,,,
12174,55,,2.757666826248169,0.5475999712944031,,
12174,55,,,,0.8851983547210693,0.5264042615890503
12199,56,0.4046429395675659,,,,
12249,56,0.2487168312072754,,,,
12299,56,0.28817522525787354,,,,
12341,56,,2.9543399810791016,0.5364999771118164,,
12341,56,,,,0.8936190009117126,0.5192840099334717
12349,57,0.38321641087532043,,,,
12399,57,0.3701028525829315,,,,
12449,57,0.3425300419330597,,,,
12499,57,0.2846812605857849,,,,
12503,57,,2.790409564971924,0.5641999840736389,,
12503,57,,,,0.9010416865348816,0.5359968543052673
12549,58,0.36947259306907654,,,,
12599,58,0.42497479915618896,,,,
12649,58,0.2631959319114685,,,,
12669,58,,3.031752347946167,0.5432000160217285,,
12669,58,,,,0.8926016688346863,0.5435126423835754
12699,59,0.3218131363391876,,,,
12749,59,0.41148442029953003,,,,
12799,59,0.37327343225479126,,,,
12840,59,,2.6608612537384033,0.5580999851226807,,
12840,59,,,,0.8870614171028137,0.53125
12849,60,0.22531110048294067,,,,
12899,60,0.16045734286308289,,,,
12949,60,0.10330528020858765,,,,
12999,60,0.1753140538930893,,,,
13009,60,,2.710196018218994,0.5925999879837036,,
13009,60,,,,0.9334781765937805,0.5511273741722107
13049,61,0.1293843537569046,,,,
13099,61,0.17345836758613586,,,,
13149,61,0.17655867338180542,,,,
13183,61,,2.780256748199463,0.5996000170707703,,
13183,61,,,,0.9397449493408203,0.5610166192054749
13199,62,0.17154058814048767,,,,
13249,62,0.19990088045597076,,,,
13299,62,0.14547696709632874,,,,
13349,62,0.1620831936597824,,,,
13361,62,,2.7966408729553223,0.6003999710083008,,
13361,62,,,,0.9405284523963928,0.5681368708610535
13399,63,0.16366466879844666,,,,
13449,63,0.161130890250206,,,,
13499,63,0.1500435322523117,,,,
13542,63,,2.7963342666625977,0.6069999933242798,,
13542,63,,,,0.9403055906295776,0.5682357549667358
13549,64,0.13574744760990143,,,,
13599,64,0.29105591773986816,,,,
13649,64,0.19472654163837433,,,,
13699,64,0.10946325212717056,,,,
13722,64,,2.8114776611328125,0.6039000153541565,,
13722,64,,,,0.9422308802604675,0.5643789768218994
13749,65,0.14516814053058624,,,,
13799,65,0.13351373374462128,,,,
13849,65,0.11094222217798233,,,,
13899,65,0.23039500415325165,,,,
13902,65,,2.874922513961792,0.6093999743461609,,
13902,65,,,,0.9416232705116272,0.5648733973503113
13949,66,0.16448645293712616,,,,
13999,66,0.16868926584720612,,,,
14049,66,0.1312246322631836,,,,
14082,66,,2.8114430904388428,0.6119999885559082,,
14082,66,,,,0.9438368082046509,0.5647745132446289
14099,67,0.08768901228904724,,,,
14149,67,0.07055985927581787,,,,
14199,67,0.24120481312274933,,,,
14249,67,0.17129749059677124,,,,
14261,67,,2.828812599182129,0.607699990272522,,
14261,67,,,,0.9446578025817871,0.5643789768218994
14299,68,0.18542414903640747,,,,
14349,68,0.15316396951675415,,,,
14399,68,0.16331924498081207,,,,
14441,68,,2.8369855880737305,0.616599977016449,,
14441,68,,,,0.9465711712837219,0.5761471390724182
14449,69,0.13624286651611328,,,,
14499,69,0.1626574993133545,,,,
14549,69,0.1731996089220047,,,,
14599,69,0.09487254917621613,,,,
14625,69,,2.7851388454437256,0.6182000041007996,,
14625,69,,,,0.945906937122345,0.5741692781448364
