epoch,train_loss,step,train_acc,test_acc
46,-13.579154014587402,17949,,
46,-13.87374210357666,17999,,
46,-14.451635360717773,18049,,
46,-13.93145751953125,18099,,
46,-14.459864616394043,18149,,
46,-14.566234588623047,18199,,
46,-15.101591110229492,18249,,
46,-14.585332870483398,18299,,
46,,18329,0.8670873641967773,0.904699981212616
47,-13.87551212310791,18349,,
47,-15.885701179504395,18399,,
47,-14.93407154083252,18449,,
47,-15.259605407714844,18499,,
47,-14.118120193481445,18549,,
47,-15.363688468933105,18599,,
47,-15.11841869354248,18649,,
47,-15.068592071533203,18699,,
47,,18719,0.8737379908561707,0.9107000231742859
48,-15.212358474731445,18749,,
48,-14.769696235656738,18799,,
48,-14.383159637451172,18849,,
48,-14.521673202514648,18899,,
48,-15.310425758361816,18949,,
48,-14.296473503112793,18999,,
48,-14.466971397399902,19049,,
48,-15.337411880493164,19099,,
48,,19109,0.8808093070983887,0.9151999950408936
49,-14.363631248474121,19149,,
49,-15.349610328674316,19199,,
49,-15.559106826782227,19249,,
49,-15.033392906188965,19299,,
49,-15.496175765991211,19349,,
49,-13.726449966430664,19399,,
49,-15.45976448059082,19449,,
49,-15.876824378967285,19499,,
49,,19499,0.8846153616905212,0.9187999963760376
50,-14.172012329101562,19549,,
50,-12.817152976989746,19599,,
50,-13.134361267089844,19649,,
50,-14.176117897033691,19699,,
50,-11.856213569641113,19749,,
50,-12.697507858276367,19799,,
50,-14.759264945983887,19849,,
50,,19889,0.8010016083717346,0.7749000191688538
51,-12.3912353515625,19899,,
51,-13.142632484436035,19949,,
51,-12.729623794555664,19999,,
51,-12.602789878845215,20049,,
51,-13.077630996704102,20099,,
51,-12.883349418640137,20149,,
51,-13.466255187988281,20199,,
51,-13.842645645141602,20249,,
51,,20279,0.8090344667434692,0.8501999974250793
52,-14.091273307800293,20299,,
52,-12.996185302734375,20349,,
52,-13.430190086364746,20399,,
52,-13.831588745117188,20449,,
52,-14.661922454833984,20499,,
52,-13.11589527130127,20549,,
52,-13.593806266784668,20599,,
52,-13.610672950744629,20649,,
52,,20669,0.8283653855323792,0.8539000153541565
53,-14.846573829650879,20699,,
53,-12.452513694763184,20749,,
53,-13.050050735473633,20799,,
53,-12.80558967590332,20849,,
53,-14.043292045593262,20899,,
53,-12.87479305267334,20949,,
53,-14.076045036315918,20999,,
53,-14.48149299621582,21049,,
53,,21059,0.8409655690193176,0.8690999746322632
54,-14.20108413696289,21099,,
54,-14.318930625915527,21149,,
54,-15.03154182434082,21199,,
54,-13.483104705810547,21249,,
54,-13.696431159973145,21299,,
54,-14.04523754119873,21349,,
54,-12.563036918640137,21399,,
54,-12.848589897155762,21449,,
54,,21449,0.8521233797073364,0.8841999769210815
55,-15.31259536743164,21499,,
55,-15.207000732421875,21549,,
55,-14.561290740966797,21599,,
55,-14.99466323852539,21649,,
55,-14.77078914642334,21699,,
55,-16.09708023071289,21749,,
55,-14.7715425491333,21799,,
55,,21839,0.8615384697914124,0.8955000042915344
56,-14.62258243560791,21849,,
56,-14.610990524291992,21899,,
56,-15.008719444274902,21949,,
56,-15.117942810058594,21999,,
56,-14.06694221496582,22049,,
56,-15.316851615905762,22099,,
56,-15.370245933532715,22149,,
56,-14.094404220581055,22199,,
56,,22229,0.8717548251152039,0.9071000218391418
57,-15.084856033325195,22249,,
57,-14.539644241333008,22299,,
57,-15.796208381652832,22349,,
57,-15.189313888549805,22399,,
57,-15.431121826171875,22449,,
57,-14.579243659973145,22499,,
57,-15.765270233154297,22549,,
57,-14.891013145446777,22599,,
57,,22619,0.8792467713356018,0.9154000282287598
58,-15.481407165527344,22649,,
58,-15.844356536865234,22699,,
58,-14.046242713928223,22749,,
58,-14.400186538696289,22799,,
58,-16.332286834716797,22849,,
58,-14.466743469238281,22899,,
58,-15.256855010986328,22949,,
58,-15.633338928222656,22999,,
58,,23009,0.8845552802085876,0.9189000129699707
59,-15.36484146118164,23049,,
59,-15.991732597351074,23099,,
59,-14.786458015441895,23149,,
59,-15.095916748046875,23199,,
59,-13.92827033996582,23249,,
59,-15.23528003692627,23299,,
59,-15.71173095703125,23349,,
59,-15.067376136779785,23399,,
59,,23399,0.8886418342590332,0.9217000007629395
60,-15.231372833251953,23449,,
60,-13.86929702758789,23499,,
60,-13.410046577453613,23549,,
60,-13.288614273071289,23599,,
60,-13.572517395019531,23649,,
60,-13.143763542175293,23699,,
60,-14.43729019165039,23749,,
60,,23789,0.8013421297073364,0.7979999780654907
61,-12.306168556213379,23799,,
61,-13.761784553527832,23849,,
61,-14.056381225585938,23899,,
61,-14.535305976867676,23949,,
61,-13.47905445098877,23999,,
61,-14.533614158630371,24049,,
61,-14.56463623046875,24099,,
61,-13.566144943237305,24149,,
61,,24179,0.8112379908561707,0.8321999907493591
62,-13.105576515197754,24199,,
62,-13.312350273132324,24249,,
62,-13.893451690673828,24299,,
62,-13.045792579650879,24349,,
62,-12.843442916870117,24399,,
62,-14.564715385437012,24449,,
62,-14.675625801086426,24499,,
62,-13.538446426391602,24549,,
62,,24569,0.8323917984962463,0.8726000189781189
63,-14.206789016723633,24599,,
63,-12.985276222229004,24649,,
63,-13.406764030456543,24699,,
63,-13.812050819396973,24749,,
63,-13.697844505310059,24799,,
63,-13.265608787536621,24849,,
63,-13.538239479064941,24899,,
63,-14.385685920715332,24949,,
63,,24959,0.8477764129638672,0.8830999732017517
64,-14.280462265014648,24999,,
64,-14.638455390930176,25049,,
64,-14.330810546875,25099,,
64,-14.965609550476074,25149,,
64,-14.160392761230469,25199,,
64,-14.753442764282227,25249,,
64,-12.406834602355957,25299,,
64,-14.586047172546387,25349,,
64,,25349,0.8585737347602844,0.8823000192642212
65,-13.669256210327148,25399,,
65,-13.803653717041016,25449,,
65,-14.884321212768555,25499,,
65,-14.37065601348877,25549,,
65,-14.355567932128906,25599,,
65,-12.864834785461426,25649,,
65,-15.020752906799316,25699,,
65,,25739,0.8667868375778198,0.8985999822616577
66,-14.507697105407715,25749,,
66,-13.764617919921875,25799,,
66,-14.950112342834473,25849,,
66,-14.833070755004883,25899,,
66,-14.553275108337402,25949,,
66,-15.382654190063477,25999,,
66,-14.677001953125,26049,,
66,-14.421916007995605,26099,,
66,,26129,0.8744591474533081,0.9064000248908997
67,-15.095430374145508,26149,,
67,-14.965959548950195,26199,,
67,-13.779994010925293,26249,,
67,-15.396158218383789,26299,,
67,-16.09604263305664,26349,,
67,-15.94242000579834,26399,,
67,-14.257400512695312,26449,,
67,-14.885045051574707,26499,,
67,,26519,0.8829928040504456,0.9175999760627747
68,-15.563124656677246,26549,,
68,-15.702460289001465,26599,,
68,-15.695783615112305,26649,,
68,-17.168903350830078,26699,,
68,-14.920743942260742,26749,,
68,-16.497722625732422,26799,,
68,-14.03493881225586,26849,,
68,-15.197428703308105,26899,,
68,,26909,0.8878004550933838,0.9215999841690063
69,-15.334619522094727,26949,,
69,-15.616552352905273,26999,,
69,-16.805917739868164,27049,,
69,-16.539690017700195,27099,,
69,-15.328697204589844,27149,,
69,-15.232015609741211,27199,,
69,-15.510705947875977,27249,,
69,-15.77178955078125,27299,,
69,,27299,0.8918069005012512,0.9221000075340271
70,-13.552695274353027,27349,,
70,-13.419357299804688,27399,,
70,-14.565781593322754,27449,,
70,-14.376564025878906,27499,,
70,-14.6364164352417,27549,,
70,-14.3621826171875,27599,,
70,-13.010780334472656,27649,,
70,,27689,0.8044871687889099,0.7630000114440918
71,-13.512117385864258,27699,,
71,-10.430359840393066,27749,,
71,-15.122186660766602,27799,,
71,-14.537432670593262,27849,,
71,-13.797453880310059,27899,,
71,-14.130261421203613,27949,,
71,-13.884132385253906,27999,,
71,-13.85047721862793,28049,,
71,,28079,0.8166065812110901,0.8517000079154968
72,-13.581525802612305,28099,,
72,-14.89297103881836,28149,,
72,-15.55955696105957,28199,,
72,-14.424956321716309,28249,,
72,-14.071680068969727,28299,,
72,-12.919089317321777,28349,,
72,-14.732178688049316,28399,,
72,-13.663501739501953,28449,,
72,,28469,0.832191526889801,0.8532000184059143
73,-14.349271774291992,28499,,
73,-14.547910690307617,28549,,
73,-14.146868705749512,28599,,
73,-14.73331069946289,28649,,
73,-14.849499702453613,28699,,
73,-14.66712760925293,28749,,
73,-14.470541954040527,28799,,
73,-13.344769477844238,28849,,
73,,28859,0.8466746807098389,0.8817999958992004
74,-14.00424575805664,28899,,
74,-13.404472351074219,28949,,
74,-13.93134593963623,28999,,
74,-14.678460121154785,29049,,
74,-14.316264152526855,29099,,
74,-13.986161231994629,29149,,
74,-13.711930274963379,29199,,
74,-13.28443717956543,29249,,
74,,29249,0.8593349456787109,0.8988000154495239
75,-13.976856231689453,29299,,
75,-15.062151908874512,29349,,
75,-15.790724754333496,29399,,
75,-13.256119728088379,29449,,
75,-13.794678688049316,29499,,
75,-14.26191234588623,29549,,
75,-14.518156051635742,29599,,
75,,29639,0.8682892918586731,0.9046000242233276
76,-14.518902778625488,29649,,
76,-14.286123275756836,29699,,
76,-15.004902839660645,29749,,
76,-13.27780818939209,29799,,
76,-15.49513053894043,29849,,
76,-14.059350967407227,29899,,
76,-15.40899658203125,29949,,
76,-13.969115257263184,29999,,
76,,30029,0.8772035241127014,0.9072999954223633
77,-15.651647567749023,30049,,
77,-14.316045761108398,30099,,
77,-14.635400772094727,30149,,
77,-14.676438331604004,30199,,
77,-15.966697692871094,30249,,
77,-15.571452140808105,30299,,
77,-15.872787475585938,30349,,
77,-15.127799987792969,30399,,
77,,30419,0.885196328163147,0.9192000031471252
78,-15.302936553955078,30449,,
78,-15.02968692779541,30499,,
78,-14.649645805358887,30549,,
78,-15.231858253479004,30599,,
78,-16.257291793823242,30649,,
78,-16.073997497558594,30699,,
78,-15.581429481506348,30749,,
78,-15.897056579589844,30799,,
78,,30809,0.8904246687889099,0.9193999767303467
79,-15.628788948059082,30849,,
79,-16.06068992614746,30899,,
79,-14.761331558227539,30949,,
79,-16.415063858032227,30999,,
79,-14.676816940307617,31049,,
79,-16.466821670532227,31099,,
79,-16.655681610107422,31149,,
79,-15.660659790039062,31199,,
79,,31199,0.8926682472229004,0.9243999719619751
80,-15.165619850158691,31249,,
80,-13.617359161376953,31299,,
80,-12.27153205871582,31349,,
80,-12.448906898498535,31399,,
80,-13.643095016479492,31449,,
80,-14.948671340942383,31499,,
80,-14.522416114807129,31549,,
80,,31589,0.8064903616905212,0.7699999809265137
81,-12.5288724899292,31599,,
81,-12.98671817779541,31649,,
81,-11.460861206054688,31699,,
81,-14.827766418457031,31749,,
81,-13.861815452575684,31799,,
81,-13.829148292541504,31849,,
81,-14.427249908447266,31899,,
81,-13.573812484741211,31949,,
81,,31979,0.8182291388511658,0.8359000086784363
82,-14.106698036193848,31999,,
82,-13.402441024780273,32049,,
82,-13.610316276550293,32099,,
82,-13.100152969360352,32149,,
82,-14.37610149383545,32199,,
82,-11.872785568237305,32249,,
82,-14.226029396057129,32299,,
82,-15.244705200195312,32349,,
82,,32369,0.8317307829856873,0.8614000082015991
83,-14.680026054382324,32399,,
83,-14.519220352172852,32449,,
83,-14.445186614990234,32499,,
83,-12.16816520690918,32549,,
83,-14.507145881652832,32599,,
83,-14.383710861206055,32649,,
83,-12.776893615722656,32699,,
83,-13.782840728759766,32749,,
83,,32759,0.8489583134651184,0.8610000014305115
84,-14.37154769897461,32799,,
84,-14.820878982543945,32849,,
84,-14.289322853088379,32899,,
84,-13.981776237487793,32949,,
84,-14.902735710144043,32999,,
84,-14.900773048400879,33049,,
84,-14.525124549865723,33099,,
84,-13.940494537353516,33149,,
84,,33149,0.8596954941749573,0.8996000289916992
85,-14.618725776672363,33199,,
85,-13.840546607971191,33249,,
85,-13.572433471679688,33299,,
85,-15.027875900268555,33349,,
85,-15.750322341918945,33399,,
85,-15.179596900939941,33449,,
85,-15.215782165527344,33499,,
85,,33539,0.8704126477241516,0.902999997138977
86,-14.066431999206543,33549,,
86,-14.520722389221191,33599,,
86,-15.08245849609375,33649,,
86,-15.422844886779785,33699,,
86,-14.48796272277832,33749,,
86,-15.797663688659668,33799,,
86,-14.153755187988281,33849,,
86,-14.400568962097168,33899,,
86,,33929,0.8779246807098389,0.9071999788284302
87,-15.417076110839844,33949,,
87,-14.781310081481934,33999,,
